name,subheading,desc,quote,servings,time,difficulty,category,tips,id
Crema Catalana,,"Enjoy this crema catalana recipe from Jamie Oliver, sometimes known as burnt cream or trinity cream it is rich Spanish custard with a hard caramel topping.",,6,40 minutes plus chilling time,Not too tricky,eggs-recipes,,26
Epic ice cream cake,Rich chocolate sponge & ice cream filling,Choose your favourite ice cream to sandwich between rich chocolate sponge,"“Choose two or three different flavours of your favourite ice cream for this cake – we went for pistachio, strawberry and vanilla. Then when you slice it open all of the amazing layers will be revealed. ”",12,1 hour 10 minutes plus 2 hours freezing,Not too tricky,uncategorised-recipes,,27
"Shortcake, curds & marmalade",,"Perfect for afternoon tea, bake these delicious crisp biscuits and serve with homemade lemon curd, marmalade and a dollop of goat's curd. ","“This pudding is simply some of my favourite things, heaped together. Crisp biscuits and a tangy goat’s curd eat very well together, while bitter marmalade adds vigour. ”",4,1 hour plus chilling,Not too tricky,uncategorised-recipes,,28
Chocolate ice cream,Made with 70% cocoa dark chocolate,"Looking for an incredible homemade chocolate ice cream recipe? This super-tasty version by Ginny Rolfe is easy to follow, with fantastic results every time.   ","“Everyone needs a good recipe for ice cream. This is very rich, so generally one scoop should be enough (seriously!) ”",6,35 minutes plus churning time in ice cream machine,Not too tricky,chocolate-recipes,,29
Chocolate biscotti,"Pistachios, cranberries & vanilla","Chocolate biscotti are twice baked Italian biscuits, these beauties from Jamie magazine are studded with cranberries and make a stunning Christmas gift.","“This Italian biscuit was originally made as a long-life foodstuff – baked twice until dry, and containing no fats, it was the ideal snack for travellers. These days biscotti are a sweet treat, made with a variety of nuts or fruits, but for the festive season we’ve gone for this lush chocolate version ”",30,1 hour 35 minutes,Not too tricky,chocolate-recipes,"Biscotti are sometimes also known as ‘cantuccini’, or ‘coffee bread’ – and that’s precisely what these crunchy biscuits are perfect for: dunk one in an espresso, or just enjoy with a glass of vin santo.",30
Chocolate & raspberry tart,With zesty shortcrust pastry,Chocolate and raspberries are a winning combination. This indulgent chocolate tart recipe is perfect for a dinner party if you really want to treat your friends!,"“Decadent and delicious, this gorgeously chocolaty tart gets a real lift from the zingy raspberries. ”",,1 hour 20 minutes plus 2-3 hours chilling,Not too tricky,chocolate-recipes,,31
Croustade (apple tart),"Armagnac, lemon & rosemary","This French apple tart recipe is really special. Buttery, armagnac-soaked apples are wrapped in wafer-thin filo pastry. It’s crispy, crunchy, sweet, soft, fruity, and delicious served with boozy cream.","“This is a Gascon apple pie, and the amazing crust is so unbelievably thin that locals call it a ‘wedding veil’ or ‘nun’s veil’. This spectacular pie keeps well for a day, or even two, and can be reheated. ”",6–8,1 hour 10 minutes plus marinating overnight and cooling,Not too tricky,fruit-recipes,,32
Pomegranate & clementine sorbet,Fresh & fruity,"This quick-to-prep, refreshing dessert is so easy to make and will round off your Christmas lunch a treat!",“A winter sorbet to refresh your palate in between rich Christmas food. ”,8,10 minutes plus freezing,Super easy,fruit-recipes,,33
Orange & polenta cake,"Orange, almond, vanilla & cardamom","Brushed generously with orange and cardamom syrup, this gluten-free cake made with polenta is zesty, zingy and makes a wonderful pudding or afternoon tea treat!",“This delicious cake is full of zingy flavour and the syrup makes it something really special – enjoy! ”,10,,Super easy,fruit-recipes,,34
Chocolate love cake with cherries and booze,A super-special Valentine's Day dessert,"Jamie's chocolate cake recipe is a perfect adult cake, boozy and rich, this easy chocolate cake recipe is packed with cherries, perfect for the one you love.",“I have a lot of love for this chocolate cake – it's not too difficult and totally delicious ”,2-6,35 minutes,Super easy,chocolate-recipes,,35
Hot cross muffins,A gluten-free Easter treat,"Gluten-free hot cross bun? Try this delicious fruity cake version of the Easter classic with ground almonds, buckwheat flour and mixed fruit – you won't be disappointed. Happy Easter!",,24,1 hour 20 minutes plus cooling,Not too tricky,fruit-recipes,"Buckwheat, despite its name, is not related to wheat at all and is totally gluten-free. The flour has a light nuttiness. You’ll find it in most supermarkets and health food shops.",36
Boozy pears & chocolate,"Toasted hazelnuts, vanilla ice cream & brandy","This is a super quick dessert recipe from Jamie Oliver that has just five ingredients! And, it can be on the table in 15 minutes. A total weeknight winner!",,4,10 minutes,Not too tricky,fruit-recipes,,37
Tropical fruit salad,Fresh fruit at its best,"This tropical fruit salad recipe is so refreshing and is the perfect dessert for a hot summer day with zingy papaya, mango, pineapple and kiwi. ","“One mouthful of this exotic fruit salad recipe with mint sugar and you can almost feel the sunshine! Refreshing, zingy and perfect for a hot summer day. ”",4,10 minutes,Super easy,fruit-recipes,Give your fruit a squeeze before you buy it to make sure it’s just soft and ripe.,38
Bonkers bread & butter panettone pudding tart,Quality dark chocolate & bitter orange marmalade,"If you don't know how to make your own panettone, shop-bought is a fantastic alternative in this brilliantly indulgent pud. Bread and butter pudding plus!","“We all know we love bread and butter pudding, but it’s time for a change – this version is super-fun ”",12,1 hour plus resting,Super easy,chocolate-recipes,"If you're pushed for time, assemble the tart the night before, store in the fridge, then bake the next day. Simple!",39
Apple sponge pudding,With vanilla & mixed spice,"Try this delightfully traditional apple sponge pudding recipe – this dreamy dessert is lightly scented with spices, perfect served with cream or custard.","“Perfect with ice cream or custard, this traditional pud made with stewed apples and a sponge top is super-comforting. Enjoy! ”",4 to 6,50 minutes,Not too tricky,fruit-recipes,,40
Gluten-free Christmas pudding,Now everyone can enjoy!,This gluten-free Christmas pudding recipe is brilliant; get ahead this Christmas and make Jamie's gluten-free Christmas pudding ahead of the day for zero fuss.,"“It may seem impossible, but gluten-free Christmas pudding is easy and great to make ahead of the day. This recipe either makes one large or two little puddings. If you have problems finding gluten-free suet, you can get it online. You can make this pudding well ahead of time. In fact, the final Sunday before Advent is the traditional day to make Christmas puddings. ”",10,30 minutes plus 8 hours cooking time,Not too tricky,fruit-recipes,,41
Profiteroles,Drizzled in glossy chocolate sauce,Homemade choux pastry filled with pistachio cream and drizzled with a rich chocolate sauce – make this tasty profiterole recipe for someone special. What a treat! ,,8,1 hour,Showing off,chocolate-recipes,,42
Ile flottante,With rockin’ rhubarb,"This classic French meringue dessert is a really fancy way to round off a special family meal. Creamy custard, dreamy floating meringue and tart rhubarb… Who could resist?!","“This classic French meringue dessert is so easy to make, but utterly decadent and really impressive ”",10,1 hour 10 minutes,Showing off,fruit-recipes,,43
Apple & date pie,Sticky with dates & muscovado sugar,"Apple pie is such a family favourite. This version is lightly spiced, sticky with dates and absolutely delicious drowned in custard. Tuck in!","“Even if you didn’t grow up with homemade apple pie, there’s something nostalgic about having one cooling on the kitchen counter. This version is lightly spiced, sticky with dates and  absolutely delicious drowned in custard. ”",6,1 hour 30 minutes plus chilling & cooling,Not too tricky,fruit-recipes,,44
Saffron-poached pears,,"Learn how to poach pears with this deliciously simple, dairy and gluten free, Christmas themed saffron poached pears recipe from Jamie Oliver. ",,4,2 hours 15 minutes plus cooling,Not too tricky,fruit-recipes,,45
Fried cox apples with cinnamon sugar,,A delightfully easy and delicious recipe of fried cox apples with cinnamon sugar makes the most of seasonal ingredients; try it for yourself online today.,"“Full of crunch, bite and juice, cox’s orange pippins apples are as good for cooking as they are eaten raw. ”",4,20 minutes,Super easy,fruit-recipes,Store the leftover clarified butter in the fridge.,46
Pears in Amarone,With a dollop of crème fraîche,"For a delicious pear dessert, try Jamie's baked pears in amarone recipe with cinnamon, orange and thyme; amazing served warm with crème fraiche.","“Absolutely delicious in winter, these pears in red wine are so simple but really look the business ”",8,1 hour 10 minutes,Super easy,fruit-recipes,,47
Classic apple crumble,With a sprinkling of lemon zest,An easy apple crumble recipe from Jamie Oliver. This is a really classic recipe – just Bramley apples and a three ingredient crumble topping. Happy days!,"“The humblest crumble ever, I’m mixing this one up with eating apples as well as the classic Bramley. So homely, so simple and so delicious – you’re going to love it. ”",8,50 minutes,Not too tricky,fruit-recipes,,48
Sexy Swedish buns,Beautiful blueberry brioche-like doughy treats,"Jamie's sexy Swedish buns are infused with spices that you wouldn't normally associate with Swedish recipes, the cardamom adds some oomph into our bun recipe.","“Sweet bread, sour berries, a little kick of cardamom – these blueberry buns are off the chart  ”",8 buns,2 hours 15 minutes,Not too tricky,bread-recipes,,49
Banana pancakes,With a dollop of crème fraiche,"This awesome banana pancake recipe from Jamie Oliver will not disappoint dessert fans. Deliciously simple, this pancake recipe really is bananas!",“My fluffy American-style pancakes with sticky bananas are a real treat for the weekend ”,6,30 minutes,Super easy,fruit-recipes,,50
Pecan & buttered rum pie,,This Pecan Pie recipe from Jamie Oliver combines the traditional American dessert flavour of Pecan with rum for the perfect grown up Thanksgiving pie.,,16,2 hours 30 minutes,Showing off,uncategorised-recipes,,51
Sour cherry stollen,,"If you've ever been to a German Christmas Market you'll know Germans do Christmas best, if you're not convinced try Jamie's sour cherry stollen recipe. ","“More like a bread, this German treat has a rich, super-sweet marzipan centre.  ”",12 to 14,1 hour 35 minutes plus soaking and proving,Showing off,fruit-recipes,,52
Summer berry pavlova,A classic summertime pud,"Jamie Oliver's summer berry pavlova is a super-simple dessert recipe that will wow your family and friends. This recipe is ideal for a picnic, dinner party, or barbecue.","“Piled high with fresh seasonal fruit, this pavlova recipe is an absolute summer show-stopper ”",10,1 hour 25 minutes,Showing off,fruit-recipes,,53
Lemon & pistachio cannoli,"Ricotta, mascarpone & marsala wine",This is definitely a recipe to impress! Delicate lemon and pistachio cannoli are a delicious Italian classic – and so much fun to make at home. Give it a go!,“You’ll need either cannoli tube or cream horn moulds to make these. ”,30,1 hour 10 minutes,Showing off,uncategorised-recipes,,54
Pineapple tatin,,The classic French Tarte Tatin is given an exotic twist with spices of fresh pineapple in this recipe from Jamie Oliver which is delightfully easy to make.,,6 to 8,45-50 minutes,Not too tricky,fruit-recipes,,55
Amalfi lemon tart,"White wine, olive oil & vanilla pastry","This homemade lemon tart recipe from Jamie Oliver is almost like a cheesecake – the ricotta makes it light and fluffy, and it’s packed with zesty lemons. ","“This wonderful, rather delicious baked lemon tart is fresh but comforting and just a stone’s throw away from a baked cheesecake. It’s great served with ice cream, and really nice with seasonal berries, such as raspberries or strawberries. If you’re feeling the Italian vibe, a little slice for breakfast with a black coffee is a real treat. ”",10 to 12,2 hours plus chilling,Not too tricky,fruit-recipes,,56
Banoffee mess cups,A classic sweet flavour combo,"This is no ordinary banoffee pie recipe! Jamie's Banoffee Mess Cups, with hazelnuts, banana, dulce de leche, cream and meringue, are perfect party treats.","“A killer mix of creamy banoffee pie and crunchy meringue, these little cups are great for parties ”",12,30 minutes plus cooling time,Super easy,fruit-recipes,,57
Neapolitan Easter tart,"Sweet pastry, ricotta & orange","If you've not tried this classic Italian pudding made with crumbly pastry, creamy ricotta, and a delicious orange hit, give this recipe a go – it's the ultimate sweet Easter treat!","“Cooked wheat, also called wheat berries or grains, comes in a jar or can and is available from delicatessens.  ”",12,1 hour 25 minutes plus chilling,Not too tricky,cheese-recipes,,58
Perfect mince pies,With filo and puff pastry,Learn how to make mince pies with this recipe from Jamie Oliver; Christmas wouldn't be Christmas without delicious mince pies!,“This light and fluffy mince pie recipe makes a great change to shortcrust ones – everyone loves 'em! ”,24,1 hour,Super easy,fruit-recipes,,59
Pineapple mint sherbet,"Elderflower cordial, mascarpone & raspberries","For a refreshing pineapple dessert try making Jamie's Pineapple Mint Sherbet with fresh pineapple, elderflower cordial and mascarpone. ","“A kinda cross between a sorbet and ice cream recipe, this zingy sherbet is lovely with fresh fruit ”",6,3 hours 10 minutes plus freezing time,Super easy,fruit-recipes,,60
"Gluten-free apple, almond & cardamom cupcakes","Easy to make, but super impressive","These gluten-free cupcakes are simply delicious and packed with apple, almond and cardamom, they're easy to make yet impressive in flavour.",“These gluten-free cakes are so simple to knock up but rammed with flavour – the cardamom really makes them sing ”,20-24,30 minutes,Super easy,uncategorised-recipes,,61
Baked berries with brandy & mascarpone,,"Discover this delicious baked berries with brandy and mascarpone recipe from Jamie Oliver, a super easy, fruity delight that is perfect for a dinner party.",,4,10 minutes,Super easy,fruit-recipes,,62
Mini vegan doughnuts,With a quick raspberry dip,A great mini vegan donut recipe with a raspberry dip from Jamie Oliver. A great vegan baking idea that everyone can enjoy! Recipe from jamieoliver.com.,"“Hot, crisp and sweet, these doughnuts are a fantastic sweet treat that everyone will love ”",24,50 minutes,Not too tricky,fruit-recipes,,63
Lavender crème brûlée,"With a lovely, crunchy caramelised topping",A World of new flavours are brought to this classic crème Brule recipe with the addition of lavender flowers to the famous caramelized top,"“Trust me, fresh and fragrant lavender makes an incredible combo with a classic crème brûlée ”",4,40 minutes,Not too tricky,eggs-recipes,,64
"Frozen grapes, chocolate & grappa",Great for after dinner,Frozen Grapes and chocolate taste delicious together and served with Grappa make a really simple but lovely after dinner treat that your guests will love.,"“These flavours and textures work so well together and make a really impressive, easy dessert ”",13,5 minutes plus freezing time,Super easy,fruit-recipes,,65
Retro arctic roll,With bashed up crunchy honeycomb,Jamie's arctic roll recipe is a twist on the retro classic with bashed up honeycomb and topped with fresh fruit; delicious.,"“This ice-cream cake is the ultimate is retro desserts. You’ll get sweet and sour, crunch and softness, all in one mouthful.  ”",14,40 minutes plus cooling time and freezing,Super easy,egg-recipes,,66
Gluten-free lemon cake,With lemon & orange drizzle,This gluten free lemon drizzle cake is a real crowd pleaser; not only is it gluten free but it's also a dairy free lemon cake with a citrus icing on top. ,"“This is the ultimate gluten- and dairy-free lemon sponge cake. With citrus icing drizzled on top, you’re guaranteed to love it. ”",12,1 hour 10 minutes plus cooling,Super easy,fruit-recipes,"To make lemon drizzle cupcakes, simple divide the mixture between two 12-hole muffin trays and bake for 15 to 20 minutes, or until golden and an inserted skewer comes out clean.Find more gluten-free recipes",67
Clementine jelly,With vanilla & ginger,Jamie's clementine jelly recipe is essentially Christmas in a glass; this zesty jelly is the perfect after dinner treat packed with festive flavours.,“Christmas in a glass. You can use virtually any type of juice for jelly but clementines are delicious this time of year. ”,6,10 minutes plus cooling and setting,Super easy,fruit-recipes,"The amount of gelatine you’ll need will vary depending according to the type, so check packet instructions and adjust accordingly. Buy vanilla syrup at good supermarkets and delis.",68
Apple crumble,"Simply delicious, and best served with custard","This Jamie Oliver recipe shows you how to make apple crumble step by step. You could add nuts to this basic apple crumble recipe, if you like. Happy days!","“You can't go wrong with a good apple crumble recipe and this one, from School Dinners, has a lovely, golden oaty topping ”",2,50 minutes,Super easy,fruit-recipes,,69
Stephen Fry’s apple pie,Blackberries & vanilla,"Beautiful apple pie recipe, as baked for Stephen Fry on Jamie & Jimmy's Friday Night Feast. Crisp and buttery pastry with a tart apple & blackberry filling.","“Stephen Fry’s perfectly English nostalgic treat is a joy to make and eat, with the sweet, buttery shortcrust casing and tart apple filling transporting you back to childhood. The lattice decoration is a little fiddly until you get the hang of it, but it’ll be the talk of the table. A real show-stopper! ”",10,2 hours 30 minutes plus chilling,Not too tricky,fruit-recipes,"To make the pastry go further and ensure it’s nice and thin, roll it through a pasta machine if you have one.",70
Banana bread,A gorgeous afternoon tea treat,"Who doesn’t love banana bread?! This easy banana bread recipe from Jamie Oliver is perfect for a bit of weekend baking, plus, it’s a great way to use up overripe bananas.","“This is a super-tasty treat and a great way to use up overripe bananas – eat this with a nice, hot cup of tea and you’ll be in heaven. ”",12,1 hour 15 minutes plus cooling,Super easy,fruit-recipes,"This works best with super-ripe bananas, so use up any that you’ve got at home.",71
Ginger & treacle cake with ice cream,,"Jamie Oliver's ginger and treacle cake with ice-cream is the perfect nostalgic party food, with a perfect adult addition strawberries macerated in rum.",,8 to 10,55 minutes,Not too tricky,uncategorised-recipes,,72
Quick individual strawberry and vanilla trifles,Ready in minutes,Individual trifles make really easy and delicious desserts; try Jamie's quick individual strawberry and vanilla trifles with limoncello and custard.,“One of the easiest trifle recipes ever! Use clear glasses so guests can see all the lovely layers ”,4,20 minutes,Super easy,fruit-recipes,,73
Royal Georgie snap biscuits,,"Jamie made this biscuits recipe to celebrate the birth of Prince George; they're lovely and snappy, light and crumbly, with delicious sour apricot jam.",,16,,Super easy,fruit-recipes,,74
Hazelnut honey cake,,Jamie's beautiful hazelnut honey cake is covered in a rich chocolate ganache and decorated with physalis; a visually stunning and delicious party dessert.,"“If you can resist eating this all at once, you’re in for a triple treat. Try not to use many iced bits of cake in the mess, but use as much as you like in the pudding – it will make the custard chocolatey. ”",16,1 hour 10 minutes plus cooling,Not too tricky,chocolate-recipes,,75
Bourbon pecan tart,Sweet pastry filled with treacly nuts & a sprinkling of cinnamon,"Find a delicious pecan pie recipe from Jamie Oliver; sweet pastry filled with  treacly nuts, bourbon and sprinkling of cinnamon, a perfectly southern pecan pie",“Beautiful pecans and wicked bourbon whiskey molasses make this quintessentially Southern American dessert out of this world.  ”,10,35 minutes,Not too tricky,eggs-recipes,,76
Lamingtons,"Chocolate, raspberry & coconut","A recipe for classic Australian lamingtons – celebrate Australia Day with Jamie Oliver's sweet treats, packed full of jam, covered in chocolate icing and rolled in coconut. Yum!","“Sandwiched together with sticky-sweet raspberry jam, dunked in glossy chocolate icing, and covered with coconut, these bite-sized Aussie favourites are a real flavour sensation, and the perfect way to celebrate Australia Day! ”",54,1 hour 45 minutes plus cooling,Not too tricky,chocolate-recipes,,77
Mincemeat palmiers with vanilla ice cream and sherry,Brilliantly festive sweet canapés,These mincemeat palmiers are delicious served with vanilla ice cream and sherry for a lovely Christmassy treat; try Jamie's palmiers recipe for yourself!,“This memorable party piece is inspired by the classic mince pies and sherry Christmas combo ”,12,30 minutes plus freezing time,Super easy,fruit-recipes,,78
Christmas ice cream sundae,A fresh take on Christmas pudding,"If you fancy a change from the usual Christmas pudding this year, give this delicious, fruity ice cream sundae recipe a try. It's an easy Christmas dessert.","“If you fancy a change from Christmas pudding this year, give these delicious, fruity sundaes a try. ”",10,35 minutes plus cooling,Super easy,fruit-recipes,,79
Roasted banana & cinnamon ice cream,,"If you're after a low-calorie pud, you can't go wrong with this gluten-free banana and cinnamon ice cream. Somewhere between frozen yoghurt and ice cream, this is easy to make and hard to resist!","“Somewhere between frozen yoghurt and ice cream, this is easy to make and oh-so hard to resist. ”",8,30 minutes plus freezing,Super easy,fruit-recipes,,80
Rolled cassata,"Pistachio marzipan, apricot jam & sweet ricotta","Cassata is like an Italian-style Swiss roll. Marzipan, ricotta, sponge cake, dried fruit and chocolate come together into a gorgeous Italian pud that will wow your friends. From Jamie Cooks Italy","“The Arabic influence in Sicilian desserts really sings out in this cassata of silky smooth ricotta with chunks of nuts and chocolate, all wrapped up in Vin Santo sponge and pistachio marzipan. I love this rolled version. ”",16,1 hour 30 minutes plus chilling,Not too tricky,cheese-recipes,,81
Confetti cake,,Create this delicious homemade funetti cake by following this simple recipe from Jamie Oliver which is quite literally a piece of cake.,"“This recipe makes one cake, but you can always do as we did for our big five-oh and make two! Hire number cake tins from local party or catering shops – we found ours at la-cuisiniere.co.uk. ”",12,1 hour plus cooling,Not too tricky,uncategorised-recipes,,82
Vegan Victoria sponge,"Vegan, gluten-free, dairy-free and delicious",Find a brilliant vegan Victoria sponge recipe which is also gluten and dairy free; dusted with icing sugar this vegan Victoria sponge can be enjoyed by all!,"“If you want a Victoria sponge recipe that tastes incredible, but is vegan, gluten-free and dairy-free too, then this is the one for you! ”",12,50 minutes plus cooling,Super easy,fruit-recipes,,83
Stewed rhubarb and vanilla yoghurt,With a hint of ginger,Learn how to stew rhubarb with Jamie's recipe then sit back and enjoy your stewed rhubarb with delicious vanilla yoghurt.,“This easy stewed rhubarb recipe is really versatile and tastes great on porridge and ice cream too ”,4,15 minutes,Super easy,fruit-recipes,,84
Cherry flans,,"This impressive cherry flan recipe from Jamie Oliver is absolutely delicious - juicy fruit compliments smooth flan, sticky caramel and a hint of Kirsch.",,6,1 hour 30 minutes,Showing off,fruit-recipes,"The cherries are even more delicious if sautéed with a little sugar and olive oil first.Kirsch can be found in most major supermarkets or from online drinks retailers, but it’s fine to omit this alcoholic element if you prefer.",85
