name,desc,rating,made-it,reviews,photos,time,servings,cals,id
Jan's Chocolate Cake,"""This is an absolutely delicious, no-fail chocolate cake.""","{'value': '4.56', 'count': '175'}",247,175,27,"['PT10M', 'PT40M', 'PT50M']",48,97,12
Speculaas Cookies or Spicy Sinterklass Cakes,"""This traditional Dutch cookie recipe came with a mold I got 20 years ago. Speculaas is a corruption of the Latin speculum (mirror). The dough is pressed into carved molds that can be used for wall decorations.  When turned out onto the cookie sheet, the picture appears as its mirror image, hence the name.  In the Sinterklass season they are available in 2/3 cookie size to huge thick men and women up to 1 pound known as lovers. If molds are not available, roll dough to desired thickness and use gingerbread man cutter or other cutter shapes. They are great to make ahead around Christmas because they last a long time.""","{'value': '3.91', 'count': '8'}",16,8,2,"['PT15M', 'PT15M', 'PT1H30M']",30,97,13
Huckleberry Pie,"""If you are lucky enough to get your hands on some fresh huckleberries, this is a wonderful recipe. Lemon zest adds a little extra kick!""","{'value': '3.88', 'count': '28'}",58,28,16,"['PT10M', 'PT40M', 'PT50M']",8,389,14
Poor Man's Pecan Pie,"""Sweet, ""nutty"" flavor at only pennies a slice.""","{'value': '4.48', 'count': '26'}",37,26,2,[],8,505,15
Pumpkin Pie for Dieters,"""If you want to stay on your diet this is a terrific crustless pumpkin pie recipe you will love.""","{'value': '4.49', 'count': '52'}",79,52,3,"['PT10M', 'PT1H10M']",6,110,16
Cape Cod Oatmeal Cookies,"""This recipe has been in my family for many, many years.  My late mother heard this recipe given out on the radio one day years and years ago and she made them.  They are delicious and I am forwarding the recipe to you because I am afraid it may otherwise become lost over time and I wish to share it with you.""","{'value': '4.16', 'count': '37'}",43,37,2,[],35,139,17
Sugar-Free Vanilla Pudding Pops,"""Sugar free vanilla pudding makes a great base for these frozen pops. If you prefer, eat the pudding straight from the fridge instead of freezing.""","{'value': '4.00', 'count': '4'}",11,4,3,"['PT5M', 'PT15M', 'PT4H20M']",6,145,18
Peach Cobbler Dump Cake II,"""If you love peaches, you will love this cake.  My grandmother used to make it for Sunday dinner.""","{'value': '4.37', 'count': '76'}",90,76,7,"['PT5M', 'PT1H', 'PT1H5M']",12,336,19
Pineapple Cheesecake Squares,"""This recipe requires a little more time because of the refrigeration required, but it's not difficult and the results are well worth it!""","{'value': '4.57', 'count': '58'}",83,58,4,"['PT30M', 'PT40M', 'PT5H10M']",16,359,20
Delicious Apple Salad,"""This salad is great after dinner.  It's become a classic in my house. Everyone enjoys it, and you'll love it too!""","{'value': '4.50', 'count': '25'}",25,25,2,"['PT5M', 'PT10M', 'PT15M']",15,256,21
Mom's Prize Winning Raw Apple Cake,"""We laugh about the title, Mom got the recipe the day before the contest from a dear friend.  There were no hard feelings!""","{'value': '4.45', 'count': '42'}",67,42,5,"['PT30M', 'PT45M', 'PT1H15M']",12,362,22
Pineapple Coconut Bars,"""Pineapple and coconut make this a special tropical treat. Serve them at your next luau""","{'value': '3.84', 'count': '23'}",44,23,4,[],24,109,23
Oatmeal-Walnut-Raisin Chewies,"""In this oatmeal raisin cookie recipe the oats and nuts are toasted to add a richer flavor. A food processor is used in making the cookie batter.""","{'value': '4.75', 'count': '8'}",18,8,2,[],24,323,24
Candy Cane Kiss Cookies,"""Like a peanut butter blossom only this one is a sugar cookie with a candy cane kiss in the center. Store in an airtight container.""","{'value': '0.00', 'count': '0'}",0,0,1,"['PT15M', 'PT10M', 'PT45M']",34,116,25
Homemade Pear Pie from Scratch,"""This pear pie is unique. People who have tried this pie have loved it so much; even those who dislike pies love this one. So you cannot go wrong on making this dish, especially for those picky eaters.""","{'value': '0.00', 'count': '0'}",0,0,1,"['PT45M', 'PT1H', 'PT2H30M']",8,428,26
Pina Colada Upside-Down Mini Cakes,"""A blend of pineapples and coconut make this scrumptious dessert a crowd pleaser. Adding the whipped cream takes the made-from-scratch yellow cake that much closer to perfection.""","{'value': '0.00', 'count': '0'}",0,0,1,"['PT25M', 'PT20M', 'PT1H5M']",10,670,27
Sesame Snaps,"""A delicious, nutritious treat made with oats, sesame seeds and brown sugar! Great for lunch bags, or a trip to the gym!""","{'value': '4.07', 'count': '12'}",13,12,2,"['PT15M', 'PT10M', 'PT25M']",36,106,28
Cherry Crisp,"""A truly incredible dessert! It's just soooo good and really easy to make. Everyone always raves about it and asks me for the recipe when I make it. Wonderful served with whipped topping or ice cream. Great for vegans!""","{'value': '4.32', 'count': '233'}",514,233,36,"['PT10M', 'PT30M', 'PT55M']",6,362,29
Nannie's Hot Milk Sponge Cake,"""Heating the milk before using it to make the batter delivers a light and fluffy sponge cake.""","{'value': '4.08', 'count': '125'}",205,125,22,"['PT30M', 'PT45M', 'PT1H15M']",14,207,30
Chocolate-Hazelnut Soy Ice Cream,"""I like ice cream, chocolate and hazelnuts. This combination was obvious. This ice cream is great smashed between vegan chocolate chip cookies!""","{'value': '4.60', 'count': '4'}",6,4,1,"['PT10M', 'PT6H10M']",4,209,31
Crazy Crust Apple Pie,"""The one that makes its own sweet, crumbly, biscuit-like crust!""","{'value': '3.75', 'count': '14'}",17,14,1,"['PT15M', 'PT45M', 'PT1H']",8,308,32
Rainbow Bundt® Cake,"""I wanted something unique and fun for my grandson's birthday. I initially thought about doing a rainbow layer cake, but thought I might be able to achieve an actual rainbow arc if I used a fluted tube pan (such as Bundt®). I was thrilled when we sliced this and I saw how vibrant and arc-shaped the rainbow turned out. And my little guy was delighted with it ... he thought I was magic!""","{'value': '5.00', 'count': '3'}",3,3,1,"['PT30M', 'PT35M', 'PT2H15M']",12,498,33
Chocolate Oat Squares,"""This is a wonderful bar cookie. I make it for my family all the time and they just can't get enough.""","{'value': '4.67', 'count': '25'}",37,25,7,"['PT30M', 'PT25M', 'PT55M']",48,199,34
Grandma's Rice Pudding,"""My grandma used to make this for my mom, and she made it for me. It's just like hot rice pudding and so yummy served with cinnamon!""","{'value': '5.00', 'count': '1'}",1,1,1,"['PT5M', 'PT40M', 'PT45M']",4,301,35
Cold Fruit Explosion Soup,"""This can be served as is or with a dollop of whipped cream. A great hit on a hot summer day.""","{'value': '4.00', 'count': '4'}",5,4,1,"['PT15M', 'PT15M']",6,80,36
You Won't Believe It's Not Dairy Chocolate Pudding,"""A smooth, chocolaty, non-dairy pudding or pie filling. I make this all the time.""","{'value': '3.71', 'count': '6'}",9,6,1,"['PT10M', 'PT1H10M']",4,180,37
Bumbleberry Pie I,"""This pie is a mixture of four flavors: apples, raspberries, blackberries, and rhubarb.""","{'value': '4.78', 'count': '26'}",59,26,3,[],8,404,38
Cassava Buko Bibingka,"""This cassava and buko cake with coconut milk offers a unique dessert to tempt any palate.""","{'value': '0.00', 'count': '0'}",0,0,0,"['PT20M', 'PT55M', 'PT1H15M']",10,377,39
Microwave Bacon Brittle,"""I made this recipe for my husband and friends. It's a huge hit that I make every Christmas for gifts. It's perfect for any bacon lover. I personally think this tastes better the second day.""","{'value': '4.22', 'count': '9'}",45,9,5,"['PT15M', 'PT20M', 'PT50M']",6,359,40
Two Bowl Cake,"""I don't remember when I got this recipe, but it has been a favorite for years.  It's quick, easy and makes a moist cake that keeps well.""","{'value': '4.38', 'count': '35'}",41,35,3,[],24,180,41
One Bowl Chocolate Cake III,"""This is a rich and moist chocolate cake. It only takes a few minutes to prepare the batter. Frost with your favorite chocolate frosting.""","{'value': '4.70', 'count': '2907'}",6k,2k,610,"['PT20M', 'PT30M', 'PT1H']",24,157,42
Georgia's Tennessee Jam Cake,"""This rich holiday dessert was invented by my grandmother and is a tradition in our house over Christmas.  These ingredients were originally the authentic thing -- homemade jam, buttermilk out of the churn, and walnuts you gather and crack yourself.  Now we use purchased items, but the cake is just as good. Frost with homemade caramel frosting, or your favorite cream cheese frosting.""","{'value': '4.89', 'count': '19'}",32,19,3,"['PT25M', 'PT40M', 'PT1H5M']",12,685,43
Jam Filled Thumbprint Cookies,"""Highlight your favorite fruits with these tasty thumbprint cookies.""","{'value': '4.59', 'count': '20'}",47,20,10,"['PT20M', 'PT6M', 'PT26M']",30,120,44
Fresh Pineapple Dessert,"""This is my own combination of desserts I've had in Hawaii and a Japanese steakhouse. It's delicious, impressive, and easy to prepare ahead for quick cooking at the last minute. Serve with vanilla ice cream.""","{'value': '4.38', 'count': '14'}",34,14,2,"['PT10M', 'PT5M', 'PT15M']",4,206,45
Butter Sprinkles,"""This is a rich butter cookie that is decorated with the sprinkles of your choice. They are also good with frosting.""","{'value': '4.50', 'count': '4'}",4,4,2,"['PT15M', 'PT12M', 'PT27M']",72,100,46
Lightened Urban Legend Cookies,"""This is a lightened version of the traditional recipe for urban legend cookies.""","{'value': '4.00', 'count': '2'}",2,2,0,"['PT20M', 'PT25M', 'PT1H45M']",60,108,47
Santa Hat Cupcakes,"""This is a fun Christmas cupcake recipe to make with the kids and is supremely easy if you start with store-bought ingredients. I am describing 3 different ways for making the Santa hats. Choose one (and triple the needed ingredients) or decorate them in different ways.""","{'value': '5.00', 'count': '0'}",1,0,2,"['PT45M', 'PT45M']",12,335,48
Pumpkin Bread Pudding with Cinnamon Whipped Cream,"""This pumpkin bread pudding is a new Thanksgiving favorite.""","{'value': '0.00', 'count': '0'}",0,0,0,"['PT25M', 'PT1H', 'PT1H55M']",8,594,49
Butterfinger Brownies,"""These brownies are made extra-special by adding chopped Butterfinger.""","{'value': '0.00', 'count': '0'}",1,0,1,"['PT10M', 'PT30M', 'PT1H10M']",20,151,50
Coconut Cream Pie I,"""Being a nurse, I have little time to put into fancy recipes.  This coconut cream pie is so easy and quick.  It is so good, it is sinful.  Use any pie crust you like.""","{'value': '4.67', 'count': '293'}",369,293,36,"['PT15M', 'PT1H15M']",8,358,51
Chewy Hollow Chocolate Peanut Butter Cookies,"""These cookies are a chewy dessert with a hollow center and have a great peanut butter taste! I made it up when I needed a good dessert. The best peanut butter cookies you will ever eat!""","{'value': '4.00', 'count': '1'}",4,1,1,"['PT15M', 'PT20M', 'PT45M']",20,323,52
Strawberry Upside Down Cake,"""Using white cake mix and a few ingredients, you will make a delicious cake that leaves your family begging for more. As the cake bakes, the strawberry mixture goes to the bottom, and the marshmallows rise to the top making a delicious crust!""","{'value': '3.56', 'count': '25'}",48,25,5,"['PT15M', 'PT25M', 'PT45M']",24,178,53
Carrot Spice and Walnut Pie,"""I modified the wonderfully creative recipe submitted by P.L. Weiss with terrific results. A new autumn favorite with my vegetarian friends. The fresh carrots really make a difference. Enjoy!""","{'value': '4.69', 'count': '11'}",16,11,5,"['PT30M', 'PT1H', 'PT1H30M']",10,331,54
Ghirardelli Mini Bittersweet Chocolate Cakes,"""Rounds of chocolate cake are split into 2 rounds and layered with rich, chocolate frosting and a sprinkle of mini chocolate chips.""","{'value': '4.17', 'count': '2'}",41,2,4,"['PT1H30M', 'PT25M', 'PT1H55M']",14,821,55
Homemade Reese's® Peanut Butter Ice Cream,"""This ice cream is delicious, creamy and full of flavor. It's a crowd favorite. . . give it a try!""","{'value': '0.00', 'count': '0'}",1,0,1,"['PT30M', 'PT5M', 'PT3H45M']",10,653,56
Apple Crisp Cookies,"""Apple crisp cookies, moist, chewy and best served warm. They were my first invented recipe.""","{'value': '3.93', 'count': '15'}",20,15,2,"['PT30M', 'PT10M', 'PT1H30M']",24,148,57
Krumkake II,"""A yummy cardamom flavored batter to use with a krumkake iron. These can be served plain or filled with flavored whip cream.""","{'value': '4.41', 'count': '14'}",26,14,5,[],18,106,58
No-Bake Baileys® Cheesecake Balls,"""Boozy chocolate-coated cheesecake balls with no need to bake, they only take 15 minutes or so (if you don't include the chilling between each step).""","{'value': '5.00', 'count': '4'}",23,4,4,"['PT30M', 'PT10M', 'PT2H55M']",20,232,59
Salmonberry Cake,"""These wonderful orange berries are also known as cloudberries or bakeapples, and are a staple of the Inupiaq Eskimos of the North Slope of Alaska. Serve with whipped topping or vanilla ice cream.""","{'value': '5.00', 'count': '1'}",3,1,1,"['PT15M', 'PT30M', 'PT1H45M']",24,127,60
Avocado Ice Cream,"""My grandfather's favorite dessert is the inspiration for this light and delicious treat that kids and adults alike will love!""","{'value': '3.75', 'count': '3'}",9,3,2,"['PT30M', 'PT10M', 'PT6H10M']",8,264,61
Pineapple Posy Pie,"""A pineapple chiffon pie with a graham cracker crust and garnished with 'pineapple flowers.'""","{'value': '4.00', 'count': '1'}",1,1,0,"['PT30M', 'PT15M', 'P1DT1H45M']",8,343,62
Buttermilk Cookie Cakes,"""My grandmother and mom used to make these every Christmas when I was little and my grandmother has since passed away and my mom lost the recipe. I looked for years and couldn't find anything that made cookies like those I remembered and then my aunt found her recipe! These are best after they've set overnight and become softer, moist and spongy, like cake. Separating the egg is a bit of a pain, but I think that may be what helps to give these such a different texture than your average sugar cookie. I sprinkle these with red and green sugar at Christmastime. Enjoy!""","{'value': '0.00', 'count': '0'}",0,0,0,"['PT20M', 'PT10M', 'PT30M']",24,109,63
Paleo Peach Crumble,"""I am loving all of the peaches this season! I can't stop eating them but today I am going to do some baking and make a paleo peach crumble. This is how I created this amazing paleo dessert!""","{'value': '0.00', 'count': '0'}",1,0,0,"['PT35M', 'PT40M', 'PT1H25M']",8,319,64
No Bake Peanut Butter Pie,"""Creamy and delicious--melts in your mouth. This pie is a real crowd-pleaser and it can be made with reduced-fat ingredients.""","{'value': '4.78', 'count': '1642'}",3k,1k,216,"['PT20M', 'PT2H20M']",16,432,65
Fruit Cobbler,"""My son took first place in a baking contest with this one.  Serve warm or cold plain, with ice cream or whipped cream.  When I use apples, a sprinkle of cinnamon or apple pie spice makes a nice touch. In place of peaches, try using apples or plums.""","{'value': '4.37', 'count': '202'}",293,202,32,[],12,168,66
Chomeur's Pudding,"""A classic French-Canadian sweet. Along with rice pudding and gelatin, this is one of the most commonly offered desserts in diners. Contrary to the usual recipe, this one uses milk for a more cake-like texture.""","{'value': '4.58', 'count': '35'}",91,35,15,"['PT15M', 'PT50M', 'PT1H5M']",8,516,67
Gluten-Free Chocolate Chip Cookies with Almond Flour,"""These chocolate chip cookies are made with almond flour and are therefore gluten free. However, they taste so good, I would put them up against any cookie recipe out there, and they'd probably win. The texture is slightly crispy on the outside and moist and chewy in the middle. Nobody that I have baked these for has been able to eat just one.""","{'value': '5.00', 'count': '3'}",13,3,3,"['PT15M', 'PT11M', 'PT26M']",32,156,68
Hasty Pudding,"""This is a quick, yummy recipe that makes it's own hard sauce. Serve it with real cream. It's an old German recipe my family has made for many holidays.""","{'value': '3.90', 'count': '9'}",11,9,1,[],12,226,69
Egg Custard Pie II,"""Couldn't be simpler!""","{'value': '4.18', 'count': '37'}",90,37,10,[],8,221,70
No Fail Chocolate Fudge,"""This fudge recipe is super creamy and everyone requests it during the holidays. While preparing, be sure that you don't let the mix get hotter than 238 degrees or it gets really dry but still tastes good.""","{'value': '4.13', 'count': '25'}",41,25,1,[],30,100,71
Glendora's Chocolate Fudge Pudding (Cake),"""This is a great winter cake! While hot, add a scoop of ice cream to melt with it. Guaranteed a winner!!""","{'value': '4.49', 'count': '34'}",59,34,5,"['PT10M', 'PT40M', 'PT50M']",6,385,72
Deb's Millionaire Cake,"""This is a moist fudgy confection to die for!""","{'value': '4.29', 'count': '30'}",44,30,3,"['PT30M', 'PT30M', 'PT4H']",18,371,73
Vinegar Pie V,"""Old vinegar pie recipe.""","{'value': '3.00', 'count': '2'}",2,2,0,"['PT30M', 'PT20M', 'PT2H50M']",8,234,74
Maple Walnut Crumb Cake,"""This is a nice maple twist on a basic European crumb cake. Our guests love it.""","{'value': '1.50', 'count': '2'}",2,2,0,"['PT20M', 'PT40M', 'PT1H']",15,613,75
Lemon Poppy Seed Loaf,"""This has a nice fresh lemon flavor.  Makes nice muffins, also.""","{'value': '4.16', 'count': '145'}",254,145,14,[],24,203,76
Best Healthy One-Bowl Brownies,"""Anytime I have a chocolate craving, my mind goes to brownies. Thick, rich, gooey brownies. Sadly, my brownie cravings could never be fully indulged by the lower calorie recipes I was using. So, I created my own!This egg-free, dairy-free, 100% vegan recipe contains applesauce and pumpkin puree instead of oil and eggs. It tastes just as decadent as the regular version!""","{'value': '0.00', 'count': '0'}",0,0,0,"['PT15M', 'PT40M', 'PT1H15M']",16,192,77
Black Forest Brownies,"""This is one of the best brownie recipes I have tried.""","{'value': '4.45', 'count': '11'}",15,11,2,"['PT15M', 'PT1H', 'PT1H25M']",24,195,78
Raspberry Truffle Fudge,"""A unforgettable double-layer confection that's absolutely perfect for your true love!""","{'value': '4.47', 'count': '116'}",158,116,5,"['PT10M', 'PT10M', 'PT1H20M']",40,149,79
Red's Date Loaf with Coconut (Frying Pan Cookies),"""Frying pan cookies - a sweet delight. Great for Christmas!""","{'value': '0.00', 'count': '0'}",1,0,0,"['PT15M', 'PT5M', 'PT1H20M']",12,213,80
Watergate Pie,"""This is a large four layer pie made in a 9x13 inch pan.""","{'value': '4.89', 'count': '14'}",20,14,5,[],12,513,81
Jelly Doughnut Cupcakes,"""I noticed there wasn't a recipe like this on the site, so I decided to upload one! A French vanilla-flavored cake, filled with strawberry jam and dusted with sugar. Friends and family will gobble them up!""","{'value': '4.81', 'count': '23'}",36,23,10,"['PT30M', 'PT20M', 'PT1H20M']",24,246,82
Cranberry Ginger Wafers with Maple Sugar,"""A bite of ginger with cranberries that would go well with an afternoon tea or lunch. I have made this recipe for a tribute to Canada on July 1st, Canada Day, with maple sugar topping to help us remember our heritage of maple syrup in Canada.""","{'value': '0.00', 'count': '0'}",0,0,0,"['PT20M', 'PT20M', 'PT1H10M']",30,117,83
Zucchini Crisp,"""Just like apple crisp! We first made this when a neighbor gave us a HUGE zucchini he grew in his garden.""","{'value': '4.60', 'count': '14'}",57,14,5,"['PT15M', 'PT45M', 'PT1H']",20,150,84
Dark Chocolate Cream Cheese Cake,"""A rich chocolate cake with a nutty cream cheese frosting. It's a nice recipe and you will love it!""","{'value': '3.67', 'count': '13'}",13,13,4,"['PT15M', 'PT1H', 'PT1H15M']",24,305,85
Healthier Apple Crisp for Two,"""When it's just my husband and I--and we're craving a nice, warm, comforting dessert--this apple crisp fits the bill every time! It's relatively easy to make, is on the healthier side, and tastes great, too!""","{'value': '0.00', 'count': '0'}",0,0,1,"['PT15M', 'PT25M', 'PT50M']",2,236,86
Grandma's Carrot Cake,"""This recipe has been a favorite in our family for three generations. Different from traditional carrot cakes, this cake is extremely moist and flavorful and is topped with a buttermilk glaze while still warm. Try it and I think you will agree that it is the best!!   Be certain to reduce the baking temperature to 325 degrees F(165 degrees C) if using a glass baking pan.""","{'value': '4.60', 'count': '76'}",183,76,10,"['PT40M', 'PT45M', 'PT1H25M']",12,643,87
Cooky Cookies,"""This is an ultra-short, yet wonderfully chewy and incredibly rich cookie!  It is one of the most popular cookies I make, especially with adults (kids are usually not so fond of the nuts).""","{'value': '4.45', 'count': '183'}",218,183,9,[],30,289,88
Shannon's Wicked Brownies,"""These are the richest brownies I've ever had. They are my most requested dessert!""","{'value': '4.08', 'count': '12'}",12,12,2,"['PT10M', 'PT28M', 'PT45M']",24,320,89
Easy Caramel Custard,"""A yummy, caramel-covered custard that's super-easy to make and fun for the whole family to eat! Special thanks to 'Cooking with dog!'""","{'value': '3.33', 'count': '5'}",34,5,3,"['PT15M', 'PT50M', 'PT2H5M']",4,175,90
Fresh Fruit Cake,"""This is a very moist cake, great for summer entertaining!""","{'value': '3.00', 'count': '2'}",2,2,1,"['PT40M', 'PT30M', 'PT1H40M']",12,500,91
Cakey Cheesecake,"""A very delicious cheesecake made with cottage cheese. Egg whites are whipped and folded into the batter to lighten it and give it a cake-like consistency. You may substitute ricotta cheese if you like.""","{'value': '2.57', 'count': '5'}",5,5,0,"['PT30M', 'PT1H', 'PT1H30M']",12,290,92
Tarte Tatin,"""Butter, sugar, apples, and flaky pastry create sinful bliss. Be sure to line your springform pan with foil to catch the drips!""","{'value': '4.00', 'count': '9'}",10,9,4,"['PT20M', 'PT1M', 'PT1H20M']",8,287,93
Maple Walnut Pralines,"""An easy walnut praline recipe with minimal preparation and cooking. Warm scoops of coated walnuts are placed on a sheet of waxed paper and allowed to settle into praline mounds. Keep refrigerated in a covered container until serving.""","{'value': '4.00', 'count': '5'}",14,5,3,"['PT10M', 'PT15M', 'PT55M']",12,272,94
PHILADELPHIA® Classic Cheesecake,"""When searching for a simple, delicious dessert that's sure to impress, look no further than this traditional cheesecake.""","{'value': '4.78', 'count': '33'}",145,33,14,"['PT20M', 'PT5H45M']",16,,95
Valentine Conversation Heart Cookies,"""Say 'I love you!' on Valentine's Day with these yummy sugar cookies inspired by classic conversation hearts.""","{'value': '5.00', 'count': '2'}",115,2,4,"['PT45M', 'PT6M', 'PT51M']",32,142,96
Vegan Pumpkin Pie Cheesecake,"""It tastes like pumpkin pie and cheesecake! And it's dairy free and vegan! Makes two pies.""","{'value': '0.00', 'count': '0'}",0,0,0,"['PT15M', 'PT1H', 'PT1H15M']",16,254,97
Hazelnut and Chipped Chocolate Cheesecake,"""A chocoholic's dream.  Something for a very special occasion. You can use hazelnut or chocolate liqueur (or a combination) in this cake.  Originally submitted to CakeRecipe.com.""","{'value': '4.88', 'count': '21'}",30,21,4,"['PT5M', 'PT10M', 'PT15M']",12,707,98
Cool Lime Pie,"""It took some experimenting, but I've finally come up with the perfect lime pie ... refreshing and easy. The pretzel crust adds an extra special touch and every time I serve it, I get rave reviews! When ready to serve, garnish each slice with a dollop of whipped topping and a lime slice.""","{'value': '4.53', 'count': '12'}",15,12,2,"['PT20M', 'PT2H20M']",8,491,99
Yummy Vegan Chocolate Pudding,"""I have been trying to cut back on my dairy intake and have reconfigured my usual chocolate pudding recipe into a vegan one.  I can't tell them apart. Note: I mention soy creamer; it's much creamier than soy milk.""","{'value': '4.07', 'count': '13'}",14,13,1,"['PT5M', 'PT25M', 'PT3H30M']",4,594,100
Strawberry Rosewater Ice Cream,"""Rosewater can be found in Middle Eastern or European markets. This recipe can be made with other berries as well. The rosewater gives it an exotic taste.""","{'value': '3.40', 'count': '5'}",4,5,1,"['PT10M', 'PT5M', 'PT3H30M']",8,313,101
Fruited Ice Cream,"""First Prize ice cream--feel free to use your favorite fruit in place of the strawberries. This is designed for an old-fashioned ice cream maker that yields 1 gallon; be sure to scale recipe down if you have a countertop model.""","{'value': '4.60', 'count': '109'}",146,109,12,"['PT15M', 'PT1H']",32,156,102
Peppermint Bars,"""Christmas bar cookie.  Dough is similar to sugar cookie with peppermint added.  Topped with melted chocolate and crushed candy canes.""","{'value': '3.78', 'count': '38'}",52,38,1,[],12,428,103
Butterscotch Apple Cookies,"""Butterscotch and apple are such a great combination, these cookies are to die for!!""","{'value': '4.25', 'count': '53'}",71,53,4,[],18,369,104
German Chocolate Upside Down Cake,"""This upside-down version of German chocolate cake is both quicker and easier then the traditional right side-up cake.""","{'value': '4.67', 'count': '36'}",50,36,5,[],24,294,105
Chocolate Chocolate Biscotti,"""Wonderful double chocolate biscotti recipe.  Like most biscotti, these store very well.""","{'value': '4.00', 'count': '18'}",19,18,3,"['PT25M', 'PT50M', 'PT1H15M']",24,163,106
Tiramisu,"""Tiramisu is a classic Italian dessert.  Ladyfinger cookies are dipped in coffee, then layered with mascarpone (a rich Italian cream cheese) and dusted with cocoa powder.   It might  become your new favorite dessert!""","{'value': '4.23', 'count': '34'}",71,34,4,"['PT30M', 'PT3H30M']",6,748,107
Lemon Chocolate Drop Cookies,"""These cookies have just the right amount of everything to equal a delicious cookie ! Lemon, spices, and chocolate chips, topped off with a tangy lemon glaze.  My friend and I got together and made them because we wanted to bake and couldn't find a recipe we liked so we made these and they were great !""","{'value': '2.27', 'count': '11'}",11,11,1,"['PT10M', 'PT10M', 'PT20M']",24,120,108
Ukrainian Chereshnyanyk Cherry bars,"""Any fresh fruit may be used with this pastry base. For quick and sure results use a canned cherry pie filling. Quick and easy cake, and tasty too.""","{'value': '3.56', 'count': '9'}",15,9,1,"['PT15M', 'PT35M', 'PT50M']",20,150,109
X Cookies,"""This is a tasty filled cookie in a cake-like pastry. The filling is mostly figs, with some nuts and raisins, chocolate and cinnamon.  The cookies are filled, then cut and formed into X shapes before baking.""","{'value': '5.00', 'count': '1'}",2,1,0,"['PT45M', 'PT15M', 'PT1H']",60,110,110
Pizza Pan Oatmeal Cookie,"""Jumbo oatmeal cookie suitable for decorating like a cake.""","{'value': '4.22', 'count': '18'}",20,18,4,[],12,145,111
Children's Gingerbread House,"""This is one my mum in England used to make when we were kids.  It was always the biggest hit every year.  Use your imagination and a variety of candies to make doors, windows, pathways, and a garden.  Note, this gingerbread house takes 2 to 3 days to complete. You can buy a variety of candies for decoration.""","{'value': '4.07', 'count': '103'}",181,103,67,[],15,736,112
Caramel Brownies,"""This is a very easy recipe and very popular.  The recipe came from a neighbor who brought it to our annual 4th of July picnic.""","{'value': '4.63', 'count': '68'}",164,68,17,[],24,269,113
Halloween Vegan Yacon Syrup Cookies,"""These cookies are absolutely delicious, probably partly because this is my favorite icing! They are gluten free (depending on flour), dairy free, and diabetes friendly. Enjoy!""","{'value': '0.00', 'count': '0'}",0,0,1,"['PT25M', 'PT10M', 'PT35M']",30,92,114
