recipe,part,ingredient
14,General,250 g strawberries
14,General,100 ml natural yoghurt or apple or orange juice
14,General,1 teaspoon honey
15,General,1 bunch of fresh mint (30g)
15,General,1 ripe pineapple
15,General,100 g blueberries
15,General,4 tablespoons Greek-style coconut yoghurt
15,General,1 lime
16,General,125 ml double cream
16,General,125 ml Greek yoghurt
16,General,4 large passion fruit
16,General,250 g fondant icing sugar
16,Raspberry Curd,300 g raspberries plus extra to serve
16,Raspberry Curd,3 tablespoons caster sugar
16,Raspberry Curd,1 lemon
16,Raspberry Curd,25 g butter
16,Raspberry Curd,1 large free-range egg
16,Raspberry Curd,3 large free-range egg yolks
16,Raspberry Curd,½ teaspoon vanilla bean paste
16,Choux Pastry,50 g butter
16,Choux Pastry,75 ml whole milk
16,Choux Pastry,100 g plain flour
16,Choux Pastry,1 teaspoon caster sugar
16,Choux Pastry,3-4 medium free-range eggs
17,General,275 g plain flour
17,General,2 tablespoons cocoa powder
17,General,1½ tesapoons bicarbonate of soda
17,General,75 g dark chocolate
17,General,75 g unsalted butter
17,General,1 large free-range egg
17,General,125 g light muscovado sugar
17,General,75 g caster sugar
17,General,125 g soured cream
17,General,75 g white chocolate chips
17,Buttercream,100 g white chocolate
17,Buttercream,150 g icing sugar
17,Buttercream,100 g unsalted butter at room temperature
17,Buttercream,½ teaspoon vanilla extract
17,Glaze,150 g dark chocolate
17,Glaze,150 ml single cream
17,Glaze,1 tablespoon light muscovado sugar
18,General,1 knob butter
18,General,100 g polenta
18,General,200 g plain flour sifted
18,General,100 g stale breadcrumbs
18,General,100 g caster sugar plus extra for dusting
18,General,500 ml full-fat milk
18,General,3 large free-range eggs beaten
18,General,100 g runny honey
18,General,55 ml olive oil
18,General,100 g dried figs chopped or torn up
18,General,100 g raisins or sultanas
18,General,"500 g firm eating apples peeled, cored and roughly diced"
18,General,½ teaspoon ground cinnamon
18,General,2 oranges zest of
18,General,2 lemons zest of
18,General,1 teaspoon salt
19,General,2 apricots
19,General,1 tablespoon orange-blossom honey
19,General,1 large free-range egg
19,General,½ tablespoon vanilla sugar
19,General,½ tablespoon butter
19,General,icing sugar
19,General,½ tablespoon hazelnuts
20,General,300 g dairy-free margarine (suitable for baking) plus extra for greasing
20,General,300 g gluten-free plain flour plus extra for dusting
20,General,300 g golden caster sugar
20,General,2 teaspoons vanilla extract
20,General,200 g organic soya yoghurt
20,General,2 teaspoons gluten-free baking powder
20,General,½ teaspoon xanthan gum
20,General,70 g cocoa powder
20,General,6 tablespoons rice milk
20,General,100 g fresh raspberries
20,General,dairy-free dark chocolate (70% cocoa solids) to serve
20,For The Icing,200 g icing sugar
20,For The Icing,4 tablespoons cocoa powder
20,For The Icing,100 g dairy-free margarine
20,For The Icing,2 tablespoons organic soya yoghurt
21,General,150 g dairy-free dark chocolate plus extra for serving
21,General,2 large ripe avocados
21,General,2 tablespoons cocoa powder
21,General,2 teaspoons vanilla bean paste
21,General,3 tablespoons maple syrup
21,General,1 x 160 g tin of coconut cream
22,General,6 ripe peaches halved
22,General,6 tablespoons caster sugar
22,General,½ stick cinnamon
22,General,1 orange zest and juice of
22,General,3 tablespoons butter
22,General,2 vanilla pods
22,General,325 g risotto rice
22,General,1 wineglass white wine
22,General,1 litre full fat milk preferably organic
22,General,100 g good-quality white chocolate grated
22,General,100 g good-quality dark chocolate (70% cocoa solids)
22,General,1 handful fresh mint leaves picked
23,General,250 g Greek-style coconut yoghurt
23,General,"500 g frozen chopped tropical fruit, such as pineapple, mango, banana"
23,General,75 g dried tropical fruit
23,General,4-6 ice cream scones
24,General,80 g flaked almonds
24,General,1 x 410 g tin of peach halves in juice
24,General,4 large scoops of vanilla ice cream
24,General,2 large free-range eggs
24,General,100 g golden caster sugar
25,Dough,1 kg tip 00 flour plus extra for dusting
25,Dough,1 x 7 g sachet of dried yeast or 5g fresh yeast
25,Dough,1 tablespoon caster sugar
25,Homemade Nutella Filling,350 g hazelnuts
25,Homemade Nutella Filling,100 g golden caster sugar
25,Homemade Nutella Filling,450 g quality dark chocolate (70%)
25,Homemade Nutella Filling,225 ml double cream
25,Homemade Nutella Filling,150 g unsalted butter at room temperature
26,General,500 ml whole milk
26,General,½ an orange
26,General,½ a lemon
26,General,½ a stick of cinnamon
26,General,1 vanilla pod
26,General,7 large free-range egg yolks
26,General,"95 g sugar, plus extra to serve"
26,General,1 heaped tesapoon cornflour
27,General,"90 g butter at room temperature, plus extra for greasing"
27,General,90 g light brown sugar
27,General,1 large free-range egg
27,General,30 g ground almonds
27,General,60 g self-raising flour
27,General,1 tablespoon cocoa powder
27,General,¼ heaped teaspoon baking powder
27,General,30 g dark chocolate (70% cocoa solids)
27,General,50 ml milk
27,General,1.5 litres ice cream (2-3 flavours)
28,General,4 lemons
28,General,4 large free-range eggs
28,General,225 g butter
28,General,350 g sugar
28,General,3 tablespoons goat's curd
28,General,1½ tablespoons bitter marmalade
28,Shortcake,40 g whole blanched almonds
28,Shortcake,40 g white breadcrumbs
28,Shortcake,125 g butter at room temperature
28,Shortcake,40 g caster sugar
28,Shortcake,1 orange
28,Shortcake,170 g flour
29,General,100 g dark chocolate (70%)
29,General,300 ml full-fat milk
29,General,85 g sugar
29,General,3 free-range egg yolks
29,General,300 ml whipping cream
30,General,200 g plain flour
30,General,60 g quality cocoa powder
30,General,175 g caster sugar
30,General,100 g quality dark chocolate (70%)
30,General,100 g shelled pistachios
30,General,40 g dried cranberries
30,General,¾ teaspoon baking powder
30,General,3 medium free-range eggs
30,General,1 teaspoon vanilla extract
31,General,200 g quality dark chocolate (70%)
31,General,125 ml full-fat milk
31,General,250 ml double cream
31,General,4 green cardamom pods
31,General,55 g golden caster sugar
31,General,1 large free-range egg yolk
31,General,"200 g raspberries (a mixture of red and golden, if available)"
31,General,icing sugar to serve
31,General,crème fraîche to serve
31,Sweet Shortcrust Pastry,125 g butter plus extra for greasing
31,Sweet Shortcrust Pastry,100 g icing sugar
31,Sweet Shortcrust Pastry,225 g plain flour
31,Sweet Shortcrust Pastry,2 large free-range egg yolks
31,Sweet Shortcrust Pastry,1 vanilla pod
31,Sweet Shortcrust Pastry,1 orange
31,Sweet Shortcrust Pastry,2 tbsp cold milk
32,General,1 kg apples such as Golden Delicious or Chantecler
32,General,100 ml armagnac
32,General,55 g unsalted butter
32,General,12 sheets of filo pastry (270g)
32,General,115 g caster sugar plus extra for sprinkling
32,General,1 teaspoon vanilla sugar or a few drops of vanilla extract
32,General,1 lemon
32,General,1 small sprig of fresh rosemary
33,General,50 g granulated sugar
33,General,5 clementines
33,General,1 lemon
33,General,500 ml fresh pomegranate juice
34,General,"200 g unsalted butter (at room temperature), plus extra for greasing"
34,General,200 g demerara sugar
34,General,3 large free-range eggs
34,General,1 teaspoon vanilla essence
34,General,200 g ground almonds
34,General,100 g coarse polenta
34,General,2 oranges
34,General,1 teaspoon orange blossom water
34,General,1 teaspoon gluten-free baking powder
34,Syrup,5 cardamom pods
34,Syrup,250 ml orange juice (from 3-4 oranges)
34,Syrup,30 ml orange blossom water
34,Syrup,125 g golden caster sugar
35,General,cake
35,General,"100 g butter softened, plus extra for greasing"
35,General,2 tablespoons cocoa powder
35,General,100 g caster sugar
35,General,1 free-range egg
35,General,100 g self-raising flour
35,General,½ teaspoon baking powder
35,General,½ x 425g tin of black cherries
35,General,2 tablespoons hazelnuts
35,General,chocolate sauce
35,General,1 tablespoon butter
35,General,150 ml single cream
35,General,75 g good-quality dark chocolate (70% cocoa solids)
35,General,"1 splash of brandy, rum, Amaretto or Baileys"
36,General,225 g unsalted butter (at room temperature)
36,General,200 g light muscovado sugar
36,General,150 g ground almonds
36,General,100 g buckwheat flour (see tip)
36,General,1 teaspoon ground mixed spice
36,General,1½ teaspoons gluten-free baking powder
36,General,¼ teaspoon sea salt
36,General,1 large orange
36,General,3 large free-range eggs (at room temperature)
36,General,175 g mixed dried fruit (ideally with candied orange in it)
36,General,50 g dried cranberries
36,General,1 eating apple (125g)
36,General,100 g icing sugar plus extra for dusting
37,General,40 g blanched hazelnuts
37,General,1 x 410 g tin of pear halves in juice
37,General,50 ml Armagnac
37,General,50 g dark chocolate (70%)
37,General,4 large scoops of vanilla ice cream
38,General,½ a pineapple
38,General,1 ripe mango
38,General,1 papaya
38,General,2 kiwi fruit
38,General,½ a lime
38,General,½ a bunch of fresh mint (15g)
38,General,2 tablespoons golden caster sugar
38,General,200 g yoghurt
39,General,125 g unsalted butter plus extra for greasing
39,General,4 tablespoons demerara sugar
39,General,750 g plain panettone
39,General,1 vanilla pod
39,General,300 ml double cream
39,General,300 ml whole milk
39,General,5 large free-range eggs
39,General,100 g golden caster sugar
39,General,60 g quality dark chocolate (70%)
39,General,60 g bitter orange marmalade
40,General,unsalted butter for greasing
40,General,6 eating apples
40,General,100 g sugar
40,General,2 large free-range eggs
40,General,1 teaspoon vanilla extract
40,General,60 g self-raising flour
40,General,½ teaspoon mixed spice
40,General,icing sugar for dusting
41,General,150 g currants
41,General,110 g sour cherries
41,General,100 g raisins
41,General,50 g chopped dates
41,General,50 g mixed peel
41,General,1 lime
41,General,½ an orange
41,General,75 ml Assam tea cold (or Earl Grey if you prefer)
41,General,½ teaspoon mixed spice
41,General,¼ teaspoon ground cinnamon
41,General,¼ teaspoon grated nutmeg
41,General,2½ tablespoons brandy
41,General,½ a large cooking apple
41,General,50 g toasted almonds
41,General,170 g soft dark brown sugar
41,General,1 tablespoon golden syrup
41,General,25 g rice flour
41,General,25 g cornflour
41,General,110 g fresh gluten-free breadcrumbs
41,General,1 teaspoon gluten-free baking powder
41,General,110 g gluten-free suet
41,General,2 large free-range eggs
41,General,1 large free-range egg yolk
41,General,butter for greasing
42,General,50 g shelled pistachios
42,General,250 ml double cream
42,General,3 tablespoons icing sugar
42,General,1 teaspoon vanilla essence
42,General,100 g dark chocolate (70%)
42,Choux Pastry,85 g unsalted butter plus extra for greasing
42,Choux Pastry,100 g plain flour
42,Choux Pastry,3 large free-range eggs
43,General,800 g rhubarb cut into 6cm pieces
43,General,4 tbsp golden caster sugar or to taste
43,General,2 oranges zest and juice of
43,General,500 ml whole milk
43,General,500 ml double cream
43,General,6 tbsp golden caster sugar
43,General,"1 vanilla pod split, seeds scraped"
43,General,8 free-range egg yolks 3 whites reserved for the meringues
43,General,150 g caster sugar
43,General,1.5 litres semi-skimmed milk
44,Pastry,140 g unsalted butter (cold)
44,Pastry,275 g plain flour plus extra for dusting
44,Pastry,1 lemon
44,Pastry,1 large free-range egg yolk
44,Filling,3 bramley apples
44,Filling,6 braeburn apples
44,Filling,5 medjool dates
44,Filling,4 tablespoons soft light muscovado sugar
44,Filling,¼ teaspoon ground cinnamon
44,Filling,1 pinch of ground cloves
44,Glaze,1 large free-range egg
44,Glaze,1 teaspoon milk
44,Glaze,1 tablespoon demerara sugar plus extra for sprinkling
45,General,4 medium pears
45,General,10 cardamom pods
45,General,320 g caster sugar
45,General,½ a vanilla pod
45,General,100 mg saffron
45,General,1 small stick of cinnamon
46,General,250 g unsalted butter
46,General,4 Cox orange pippin apple
46,General,1 lemon
46,General,4 tablespoons caster sugar
46,General,1 teaspoon ground cinnamon
46,General,"apple juice, cider or calvados optional"
47,General,2 vanilla pods
47,General,1 bottle Amarone or Barolo red wine
47,General,225 g sugar
47,General,1 small cinnamon stick
47,General,1 orange zest and juice of
47,General,1 small bunch fresh thyme
47,General,8 Comice pears peeled and base removed
47,General,250 g butter
48,General,1.5 kg mixed apples (I like to use half Bramley)
48,General,150 g golden caster sugar
48,General,1 lemon
48,General,50 g unsalted butter (cold)
48,General,100 g plain flour
49,Dough,7 g packet yeast
49,Dough,375 ml milk warm
49,Dough,1 heaped teaspoon ground cardamom or about 20 cardamom pods
49,Dough,2 large free-range eggs
49,Dough,200 g caster sugar
49,Dough,50 g butter melted
49,Dough,800 g plain flour plus extra for dusting
49,Dough,15 g unsalted butter
49,Dough,75 g demerara sugar
49,Filling,400 g blueberries
49,Filling,75 g caster sugar
49,Filling,1 orange
50,General,3 large free-range eggs
50,General,115 g plain flour
50,General,1 heaped teaspoon baking powder
50,General,140 ml milk
50,General,1 pinch salt
50,General,2 knobs butter
50,General,3 tablespoons caster sugar
50,General,4 bananas
50,General,crème fraîche to serve
51,General,150 ml spiced golden rum such as Sailor Jerry
51,General,1 whole nutmeg for grating
51,General,4 large free-range eggs
51,General,250 g caster sugar
51,General,200 g white chocolate
51,General,1 vanilla pod
51,General,300 ml single cream
51,Nut Pastry,100 g pecans or walnuts
51,Nut Pastry,150 g plain flour plus extra for dusting
51,Nut Pastry,2 tablespoons icing sugar
51,Nut Pastry,150 g unsalted butter plus extra for greasing
51,Nut Pastry,1 teaspoon vanilla extract
51,Nut Brittle,75 g pecans
51,Nut Brittle,200 g caster sugar
52,General,200 g dried sour cherries
52,General,3 tablespoons kirsch
52,General,100 g unsalted butter
52,General,500 g plain flour plus extra for dusting
52,General,225 ml milk
52,General,2 sachets dried yeast
52,General,50 g caster sugar
52,General,1 large free-range egg
52,General,150 g mixed peel
52,General,50 g whole almonds
52,General,1 teaspoon ground cinnamon
52,General,300 g marzipan or almond paste
52,General,100 g icing sugar
52,General,1 clementine
53,Meringue,6 large free-range egg whites
53,Meringue,300 g caster sugar
53,Pavlova,400 g fresh strawberries and raspberries
53,Pavlova,200 ml double cream
53,Pavlova,200 ml fat-free natural yoghurt
53,Pavlova,2 tablespoons caster sugar
53,Pavlova,1 vanilla pod
53,Pavlova,a few sprigs of fresh mint
54,General,300 g plain flour plus extra for dusting
54,General,50 g caster sugar
54,General,¼ teaspoon bicarbonate of soda
54,General,1 pinch of ground cinnamon
54,General,1 lemon
54,General,4 tablespoons marsala wine
54,General,1 large free-range egg
54,General,4 tablespoons butter
54,General,2 litres sunflower oil for frying
54,Filling,150 g icing sugar plus extra to serve
54,Filling,400 g ricotta cheese
54,Filling,150 g mascarpone cheese
54,Filling,150 g Greek-style yoghurt
54,Filling,2 lemons
54,Filling,1½ tablespoons candied lemon peel
54,Filling,75 g pistachios
55,General,1 large sheet of frozen all butter puff pastry (200g)
55,General,1 pineapple (525g)
55,General,60 g unsalted butter
55,General,100 g caster sugar
56,Pastry,250 g plain flour plus extra for dusting
56,Pastry,50 g icing sugar plus extra for dusting
56,Pastry,75 ml olive oil
56,Pastry,75 ml Greco di Tufo white wine
56,Pastry,½ teaspoon vanilla bean paste
56,Filling,5 large lemons
56,Filling,500 g quality ricotta cheese
56,Filling,150 g caster sugar
56,Filling,2 large free-range eggs
57,General,4 shop-bought meringues broken up
57,General,250 g ready-rolled shortcrust pastry
57,General,100 g hazelnuts toasted and crushed
57,General,3 ripe bananas sliced
57,General,450 g dulce de leche toffee sauce
57,General,300 ml double cream whipped
58,General,1 x 400 g jar of cooked wheat
58,General,120 ml milk
58,General,½ teaspoon vanilla extract
58,General,1 lemon
58,General,250 g ricotta cheese
58,General,5 large free-range egg yolks
58,General,200 g icing sugar plus extra to serve
58,General,120 g mixed candied peel
58,General,1½ tablespoons orange blossom water
58,General,1 orange
58,General,2 large free-range egg whites
58,Sweet Shortcrust Pastry,"150 g butter at room temperature, plus extra for greasing"
58,Sweet Shortcrust Pastry,400 g tipo 00 or plain flour
58,Sweet Shortcrust Pastry,100 g caster sugar
58,Sweet Shortcrust Pastry,¼ of a lemon
58,Sweet Shortcrust Pastry,3 large free-range eggs
59,General,100 g good-quality mincemeat
59,General,25 g dried cranberries or blueberries chopped
59,General,2 clementines zest of
59,General,1 splash sherry or brandy
59,General,flour to dust
59,General,250 g puff pastry
59,General,1 pack filo pastry
59,General,50 g butter melted
59,General,1 free-range egg beaten
59,General,50 g flaked almonds
59,General,icing sugar to dust
60,General,1 large ripe pineapple
60,General,8 fresh mint leaves
60,General,100 ml elderflower cordial
60,General,100 g mascarpone
60,General,raspberries to serve
61,General,200 g gluten-free flour
61,General,100 g ground almonds
61,General,1 pinch of salt
61,General,2 teaspoons gluten-free baking powder
61,General,½ teaspoon ground cardamom
61,General,5 large free-range eggs
61,General,2 tablespoons vegetable oil
61,General,200 g sugar
61,General,2 Gala apples
62,General,"750 g mixed berries, such as raspberries and blueberries"
62,General,100 ml brandy
62,General,4 tablespoons soft dark brown sugar
62,General,250 g mascarpone
63,General,50 g dairy-free margarine
63,General,120 ml organic soya milk
63,General,1.5 litres sunflower oil
63,General,250 g plain flour
63,General,1½ teaspoons baking powder
63,General,½ teaspoon sea salt
63,General,50 g golden caster sugar
63,General,200 g ripe raspberries
63,General,1 heaped tablespoon icing sugar
63,General,½ orange
63,For The Vanilla Sugar,1 vanilla pod
63,For The Vanilla Sugar,50 g caster sugar
64,General,2 vanilla pods
64,General,150 ml double cream
64,General,150 ml single cream
64,General,200 ml semi-skimmed milk
64,General,8 large free-range yolks
64,General,75 g sugar
64,General,1 bunch lavender flowers picked
64,General,4 tablespoons caster sugar
65,General,1 bottle grappa chilled
65,General,2-3 bunches frozen grapes
65,General,a few bars good-quality dark chocolate (70% cocoa solids)
66,General,optional:
66,General,edible flowers
66,Sponge,3 large free-range eggs
66,Sponge,100 g golden caster sugar plus extra for sprinkling
66,Sponge,75 g plain flour
66,Sponge,a few knobs of butter for greasing
66,Sponge,1 heaped teaspoon cocoa powder
66,Filling,"2 x 500 ml tubs of good-quality ice cream, vanilla and chocolate"
66,Filling,300 g good-quality strawberry or raspberry jam
66,Filling,1 Crunchie or Dime bar or a bag of Maltesers bashed up
66,To Serve,200 g fresh berries
66,To Serve,juice of ½ a lemon
67,General,"300 g dairy-free margarine (suitable for baking, at room temperature)"
67,General,300 g gluten-free plain flour plus extra for dusting
67,General,300 g golden caster sugar
67,General,4 large free-range eggs
67,General,3 lemons
67,General,2 oranges
67,General,2 teaspoons gluten-free baking powder
67,General,½ teaspoon xanthan gum
67,General,100 g icing sugar
68,General,800 ml clementine juice (from about 30 clementines)
68,General,white sugar to taste
68,General,small piece of fresh ginger
68,General,"2 gelatine sachets (23g in total, see tip)"
68,General,2 fresh clementines
68,General,1 big tsp vanilla syrup (see tip) or a few drops of vanilla extract
68,General,200g plain yoghurt
68,General,good-quality dark chocolate
69,Filling,400 g cooking apples
69,Filling,50 g caster sugar
69,Crumble,35 g wholemeal flour
69,Crumble,35 g rolled oats
69,Crumble,35 g unsalted butter
69,Crumble,20 g caster sugar
70,General,2 kg mixed apples (I used half Bramley)
70,General,40 g unsalted butter
70,General,100 g golden caster sugar
70,General,1 pinch of allspice
70,General,150 g blackberries
70,General,soft brown sugar for sprinkling
70,Pastry,500 g plain flour plus extra for dusting
70,Pastry,100 g icing sugar
70,Pastry,250 g unsalted butter (cold)
70,Pastry,2 vanilla pods
70,Pastry,3 large free-range eggs
70,Pastry,4 tablespoons milk
70,Pastry,vegetable oil for greasing
71,General,olive oil
71,General,250 g self-raising flour plus extra for dusting
71,General,3 ripe bananas
71,General,2 tablespoons fresh apple juice
71,General,125 g unsalted butter (at room temperature)
71,General,2 large free-range eggs
71,General,½ teaspoon ground cinnamon
71,General,2 tablespoons runny honey
71,Optional,50 g pecans
72,General,500 g plain flour plus extra for greasing
72,General,4 teaspoons ground ginger
72,General,1½ teaspoons baking powder
72,General,½ teaspoon ground cinnamon
72,General,½ teaspoon ground cloves
72,General,½ teaspoon ground nutmeg
72,General,"250 g treacle, golden syrup or light molasses"
72,General,75 g light brown sugar
72,General,125 g unsalted butter plus extra for greasing
72,General,200 ml milk
72,General,1 tablespoon crème fraîche
72,General,1 orange
72,General,1 tablespoon brandy
72,General,2 large free-range eggs
72,To Serve,strawberries
72,To Serve,golden rum
72,To Serve,icing sugar
72,To Serve,vanilla ice cream slab
73,General,2 handfuls strawberries plus extra to decorate
73,General,1 tablespoon vanilla sugar or caster sugar
73,General,125 ml double cream
73,General,125 ml fat-free natural yoghurt
73,General,1 vanilla pod split
73,General,8 little rum babas or madeleines soaked in Limoncello
73,General,400 g thick custard
73,General,fresh mint leaves to decorate
74,General,50 g dried apricots
74,General,300 g plain flour plus extra for dusting
74,General,100 g ground almonds
74,General,100 g caster sugar plus extra for sprinkling
74,General,250 g cold unsalted butter cubed
74,General,250 g good-quality apricot jam
75,General,250 g butter plus extra for greasing
75,General,220 g runny honey
75,General,4 large free-range eggs
75,General,150 g ground hazelnuts
75,General,150 g wholemeal self-raising flour plus extra for dusting
75,General,1 teaspoon baking powder
75,Chocolate Ganache,100 g dark chocolate (70% cocoa solids)
75,Chocolate Ganache,1 teaspoon butter
75,Chocolate Ganache,200 ml single cream
76,General,1 x quantity Sweet pastry (see sweet pastry recipe)
76,General,450 g pecan nuts
76,General,3 large free-range eggs
76,General,175 g golden caster sugar
76,General,1 teaspoon ground cinnamon
76,General,100 ml molasses or black treacle
76,General,50 g unsalted butter melted
76,General,50 ml bourbon whiskey
76,General,vanilla ice cream to serve
77,General,"500 g unsalted butter (at room temperature), plus extra for greasing"
77,General,250 g self-raising flour plus extra for dusting
77,General,250 g golden caster sugar
77,General,5 large free-range eggs
77,General,100 ml milk
77,General,½ teaspoon vanilla extract
77,General,½ teaspoon baking powder
77,General,250 g quality dark chocolate (70%)
77,General,100 g icing sugar
77,General,300 g desiccated coconut
77,General,1 x 340 g jar of quality raspberry jam
78,General,1 orange zest of
78,General,50 g pecans roughly chopped
78,General,1 piece stem ginger (from a jar) finely chopped
78,General,325 g mincemeat
78,General,1 splash brandy
78,General,"1 sheet frozen puff pastry from a 425g pack, thawed"
78,General,1 free-range egg lightly beaten
78,General,good-quality vanilla ice cream to serve
78,General,1 bottle Pedro Ximénez or other sweet sherry to serve
79,General,75 g dried blueberries
79,General,75 g dried cranberries
79,General,100 ml limoncello plus extra to serve
79,General,400 g mincemeat
79,General,300 ml double cream
79,General,3 tablespoons chopped candied peel
79,General,1 pinch ground ginger
79,General,2 limes
79,General,2 clementines
79,General,1 litre quality vanilla ice cream
79,General,8 meringue nests
79,General,1 sprig of fresh mint
80,General,5 ripe bananas
80,General,2 oranges
80,General,4 tablespoons runny honey
80,General,3 teaspoons ground cinnamon
80,General,300 ml milk
80,General,250 g fat-free natural yoghurt
80,General,dark chocolate (70%)
81,General,3 large free-range eggs
81,General,100 g golden caster sugar
81,General,75 g plain flour
81,General,1 teaspoon vanilla bean paste
81,General,unsalted butter for greasing
81,General,100 g shelled unsalted pistachios
81,General,500 g white marzipan
81,General,icing sugar for dusting
81,Filling,400 g quality ricotta cheese
81,Filling,1 tablespoon caster sugar
81,Filling,50 g whole hazelnuts
81,Filling,1 heaped tablespoon glacé fruit
81,Filling,20 g shelled unsalted pistachios
81,Filling,100 g quality dark chocolate (70%)
81,Filling,3 tablespoons apricot jam
81,Filling,50 ml Vin Santo
81,Filling,15 glacé cherries
82,General,butter for greasing
82,General,115 g plain flour
82,General,140 g icing sugar
82,General,8 large free-range egg whites
82,General,150 g caster sugar
82,General,1 teaspoon cream of tartar
82,General,1 teaspoon vanilla extract
82,General,1 lemon
82,Buttercream,200 g icing sugar
82,Buttercream,100 g butter at room temperature
82,Buttercream,1 splash of milk
82,Buttercream,"hundred and thousands, to decorate"
83,General,300 g dairy-free margarine (suitable for baking) plus extra for greasing
83,General,300 g gluten-free plain flour plus extra for dusting
83,General,300 g golden caster sugar
83,General,2 vanilla pods
83,General,200 g organic soya yoghurt
83,General,2 lemons zest only
83,General,2 tablespoons gluten-free baking powder
83,General,½ teaspoon xanthan gum
83,General,rice milk optional
