recipe,seq,step
5,0,"When it comes to mulled wine, I have a simple rule: always make more than you think you’ll need. Whenever I go to a party it always seems to run out. If you’re worried about wasting any leftovers, don’t be. You can pour it into ice cube trays and it will keep for months if you freeze it. Then, whenever anyone says, “Oh I feel like dessert’ you can just pop some cubes out and make this lovely little sorbet for a totally unexpected treat. "
5,1,"There are only two things you need to remember when making your mulled wine into sorbet: firstly, you have to cook off all the alcohol if you want the wine to freeze. And secondly, it’s important to give the mulled wine plenty of time to freeze, as the cubes need to be very hard for this sorbet. "
5,2,"Bring your mulled wine to the boil, and keep it on a rolling boil for around 5 to 6 minutes so the mixture becomes syrupy and the alcohol burns off.  Let it cool completely then pour it into ice-cube trays and pop these in the freezer until you need them. "
5,3,"To make the sorbet, pop the cubes of frozen mulled wine into a food processor and give them one or two quick blitzes to break them down a little bit. Add your yoghurt or crème fraîche and whiz immediately until just blended. "
5,4,Spoon the sorbet into little bowls or cups and either pop these back in the freezer to set a bit or serve right away with a biscotti or some lovely fresh fruit on the side.
6,0,Preheat the oven to 240ºC/475ºF/gas 9. 
6,1,"Hull the strawberries, halve any larger ones, and place them all in a 25cm baking dish. "
6,2,"Halve the vanilla pod lengthways, scrape out the seeds and add to the strawberries (save the empty vanilla pod and pop in a jar of sugar for a lovely flavour). "
6,3,"Finely grate in the orange zest and brown sugar, tossing gently to combine, then pour in the Pimm’s. "
6,4,"Place the dish in the oven, reduce the temperature to 190ºC/375ºF/gas 5 and cook for 10 minutes, or until the fruit is soft but still holding its shape. "
6,5,"Meanwhile, make the topping. Blitz the almonds in a food processor until fine, then tip in the flour, sugar and 1 pinch of sea salt. Cut the butter into cubes, add to the food processor and pulse until the mixture resembles fine breadcrumbs. "
6,6,Add about 2 tablespoons of water and pulse again until it comes together into a firm dough.  
6,7,"Remove the strawberries from the oven, gently mixing and scraping around the edges to collect any bits that are catching, then use a tablespoon to dollop 12 big spoonfuls of dough on top of the fruit. "
6,8,"Return the dish to the oven for about 20 minutes, until bubbling and golden on top. Serve with vanilla ice cream, if you like."
7,0,Preheat the oven to 180ºC/gas 4. 
7,1,"Mix all the batter ingredients with a pinch of sea salt in a blender or food processor until totally smooth, then set aside for 20 to 30 minutes."
7,2,"Meanwhile, grease a 25cm round baking dish with the softened butter, then sprinkle over the sugar. "
7,3,"Dot the cherries (stoned, if you prefer) around the base of the dish, then place in the oven for 5 minutes so the fruit can begin to soften."
7,4,"Remove the dish from the oven and pour over the batter until the cherries are just covered. Return to the oven to bake for about 30 to 35 minutes, or until puffy and golden. "
7,5,Dust the clafoutis with icing sugar and serve lukewarm.
8,0,Preheat the oven to 180ºC/gas 4. Grease and line the bases of 2 round 20cm sandwich tins. 
8,1,"Cube up the butter, then cream together with the sugar in a large mixing bowl until pale and fluffy. Mix in the vanilla extract."
8,2,"Beat the eggs, then gradually mix into the creamed butter and sugar. Sift, then fold in the flour, baking powder and ¼ of a teaspoon of sea salt with a large metal spoon until just incorporated (don’t overmix)."
8,3,"Stir in 1 splash of milk to loosen the batter, then evenly divide it between the 2 cake tins. "
8,4,"Bake the cakes in the oven for 22 to 25 minutes, or until golden and cooked through. To test, insert a skewer into the middle of a cake; it’s ready when the skewer comes out clean. Leave to cool in the tins for 5 minutes, then turn onto a wire rack to cool completely."
8,5,"Once completely cool, pour the cream into a large bowl, scrape in the vanilla seeds and whisk until you have soft peaks. "
8,6,"Sift in icing sugar and gently fold through. Place one of the cakes on your chosen plate or cake stand and spread over the vanilla cream, but not right to the edges or it will spill later. "
8,7,"Hull and roughly slice the strawberries, then scatter on top of the second cake. Dust with icing sugar and decorate with extra strawberries, if you like."
9,0,Preheat the grill to high. 
9,1,"Halve and destone the peaches, then place in a snug-fitting baking dish, drizzle with the brandy, grate over some orange zest and squeeze in a little orange juice.Halve the vanilla pod lengthways, scrape out the seeds and add to a bowl with the sugar, then mix to combine."
9,2,"Sprinkle the sugar over the peaches, then add the bay leaves and vanilla pod to the dish and gently toss everything together."
9,3,"Arrange the peaches in a single layer, cut-side up. Place the dish under the grill for 5 to 6 minutes, or until the fruit is golden and the juices bubbling. "
9,4,"Smash the biscotti and sprinkle on top, then serve with crème fraîche."
10,0,Preheat the oven to 180ºC/350ºF/gas 4. Grease and line a 20cm round loose-bottomed cake tin. 
10,1,"Melt the butter over a low heat, then set aside."
10,2,Separate the egg yolks and whites. Beat the egg yolks with the sugar in an electric mixer until light and creamy. 
10,3,"While the machine is running, slowly add the pistachios and semolina, followed by the melted butter, lemon zest, marmalade and ¼ teaspoon of sea salt. Beat until smooth."
10,4,"In a separate bowl, whisk the egg whites until they form stiff peaks. "
10,5,Gently fold this into the pistachio mixture in three additions in order to keep it as airy as possible. 
10,6,"Pour the batter into the prepared tin and bake for 25 to 30 minutes, or until golden and an inserted wooden skewer comes out clean."
10,7,"Meanwhile, make the lemon syrup. Combine the lemon juice and sugar in a saucepan and stir over a medium heat until the sugar has dissolved. Remove from the heat and set aside."
10,8,Pierce the cake all over with a skewer as soon as you remove it from the oven. Slowly pour the syrup over the cake while it’s still warm. 
10,9,"Sprinkle with the dried mint, then chop and scatter over the pistachios. "
10,10,"Leave the cake to cool completely before removing from the tin. Serve slices with a spoonful of Greek yoghurt, if you like."
11,0,"Preheat the oven to 200ºC/400ºF/gas 6. In a food processor, blitz the sultanas, apricots, dates, baking powder and a little of the flour (just enough to stop the fruit sticking to the blades). If you don’t have a food processor, you can chop it very finely. Put this mixture into a bowl with the muscovado sugar, the golden syrup, the egg and the melted butter and stir together. Then add the very hot water and the remaining flour and mix well with a whisk. Divide the mixture between 12 cupcake papers (I like to double up the papers to give the mixture a bit more hold) and place on a baking tray. Bake in the preheated oven for about 15 minutes."
11,1,"Meanwhile, melt all the chocolate topping ingredients in a saucepan and bubble for a while until darkened in colour slightly. Remove from the heat and let the sauce cool until it thickens. Then put a blob on top of each cupcake."
12,0,"Preheat the oven to 170°C fan/375°F/gas 5. Place the sugar, oil and vanilla extract in a large bowl, then beat with an electric mixer (I prefer the free-standing type) for 1 to 2 minutes, until well combined. Mix the yoghurt and vinegar together in a bowl, then add to the mixture and beat for 1 to 2 minutes. Add the remaining cupcake ingredients and 1 teaspoon of fine sea salt, then whisk until smooth and just combined. Fill the paper cases two-thirds full with mixture, but don’t bother to smooth it out. Bake for 20 minutes, or until they spring back when touched. Leave to cool, transferring to a wire cooling rack after 5 minutes."
12,1,"Meanwhile, make the icing. Beat the soya spread with an electric mixer for 1 to 2 minutes, or until smooth. Sift the icing sugar into a large bowl, then add to the soya spread in two stages, beating well between each. Add the vanilla extract and a small splash of water, then whisk for a further few minutes, or until silky smooth – if it’s too stiff, add a splash more water to loosen. Once the cupcakes are cool, decorate them with the icing and add a few sprinkles too if you like – whatever takes your fancy – then enjoy."
13,0,"Stone and quarter the plums, then combine with 100g of sugar in a large heatproof bowl. "
13,1,Cover tightly with clingfilm and set over a pan of simmering water for about 30 minutes to release the plum juices. 
13,2,"Sieve the plums, pressing down, to release about 300ml juice – top up with water if need be."
13,3,Make a sugar syrup by dissolving the remaining sugar in 100ml of boiling water. Pour 100ml into the plum juice.
13,4,"Beat the egg white until frothy, squeeze in the lemon juice and stir into the plum juice. "
13,5,"Taste, add more syrup if necessary. Churn in an ice cream maker according to the instructions."
14,0,"Whizz up 250g ripe strawberries, 100ml natural yoghurt (or apple or orange juice) and 1 teaspoon honey in a blender or food processor. Taste, and add a little more honey if you think you need to. Divide the strawberry mixture between 4 ice lolly moulds, then pop a stick into each one. Put the ice lollies in the freezer for at least 4 hours or until solid."
15,0,"Pick the mint leaves into a pestle and mortar, reserving a small handful of leaves to one side. "
15,1,"Pound the rest into a paste, then muddle in 1 to 2 tablespoons of extra virgin olive oil to make a mint oil. "
15,2,"Top and tail the pineapple, then slice off the skin. Quarter lengthways, remove the core, then finely slice lengthways. Arrange on a large platter or divide between your plates. "
15,3,"Take the time to halve the blueberries, then sprinkle over the top."
15,4,"Ripple some mint oil through the yoghurt (saving the rest for another recipe), then spoon over the fruit. "
15,5,Finely grate over the lime zest from a height and squeeze over the juice. 
15,6,"Finely slice and sprinkle over the reserved mint leaves, then drizzle with a tiny bit of extra virgin olive oil (yes, you heard it – delicious)."
16,0,"For the raspberry curd, tip the berries into a saucepan with 1 tablespoon of the sugar, 2 teaspoons of lemon juice and a little splash of water. "
16,1,"Cook over a low heat for about 5 minutes, until the fruit is very soft, then push it through a fine mesh or sieve into a heatproof bowl."
16,2,"Mix the remaining sugar into the raspberries, then add the butter and sit the bowl over a pan of simmering water. "
16,3,"Stir for about 2 minutes, or until the butter has melted and the sugar has dissolved."
16,4,"In a separate bowl, beat together the egg, yolks and vanilla bean paste, whisk in 2 to 3 tablespoons of the warm raspberry mixture to loosen, then mix it into the remaining raspberry in the bowl. "
16,5,"Cook the curd over the simmering water for about 10 minutes, until thickened and it coats the back of a spoon, stirring often."
16,6,"Strain the mixture into a clean bowl, cover the surface with clingfilm (to stop a skin forming) and set aside to cool."
16,7,"For the choux, preheat the oven to 180ºC/gas 4. "
16,8,"Dice and add butter to a pan with the milk and 75ml of water. Place it over a low heat until the butter has melted, then increase the heat to bring the mixture to a rolling boil. "
16,9,"Remove the pan from the hob (turn down the heat to low). Sift and beat in the flour, along with the sugar and a pinch of sea salt. "
16,10,"Keep beating until the mixture is smooth, glossy and comes away from the sides of the pan."
16,11,"Flash the pan on the hob for about 30 seconds, stirring constantly, to dry out the mixture a little. Take it off the heat, tip the mixture into a clean bowl and leave it to cool for 5 minutes."
16,12,"Beat the eggs, then gradually add them to the choux mixture, mixing well between each addition. You may not need all of the egg – just enough so the mixture drops reluctantly from the spoon."
16,13,"Line a baking tray with greaseproof paper, then drop rounded teaspoonfuls of the choux batter onto it, leaving space between each to allow for expansion."
16,14,"Bake them on the middle shelf of the oven for about 20 minutes, or until golden and doubled in size. "
16,15,Pierce the bottom of each bun with a skewer to release the steam and return them to the oven for a further 2 minutes. 
16,16,Transfer to a wire rack to cool completely.
16,17,"In a bowl, whip the double cream and Greek yoghurt until it holds firm peaks, then fold in the raspberry curd until it holds soft peaks – don’t over-fold as this will make it hard to pipe into the buns."
16,18,Scoop the filling into a piping bag fitted with a plain nozzle. Cut a small hole underneath each choux bun and fill with the raspberry cream.
16,19,"To make the glaze, scoop the passion fruit pulp into a sieve set over a bowl, pushing as much juice though as you can. "
16,20,Whisk the fondant icing sugar into the juice until smooth and the icing holds a ribbon trail.
16,21,"Carefully spoon the passion fruit icing over each bun and leave to set for 5 minutes before topping with a fresh raspberry and a few rose or raspberry sprinkles, if you like."
17,0,Preheat the oven to 170ºC/gas 3. Line two large baking trays with greaseproof paper. 
17,1,"Sift together the flour, cocoa, baking powder, bicarbonate of soda and a pinch of sea salt. "
17,2,Chop and melt the chocolate with the butter in a heatproof bowl over a pan of barely simmering water. Stir until smooth and set aside to cool. 
17,3,"In a large bowl, lightly beat the egg, then whisk in the sugars and soured cream. Stir in the melted chocolate and butter to combine. "
17,4,"Add the sifted dry ingredients and 5 tablespoons of boiling water, and mix until smooth. Fold in the white chocolate chips. "
17,5,"Spoon 12 even dollops onto each baking sheet, leaving plenty of space between them. Bake on the middle shelf of the oven for 10 to 12 minutes. "
17,6,"Leave to cool on the trays for a few minutes, then transfer to a wire rack to cool completely. "
17,7,"For the buttercream frosting, melt the white chocolate in a heatproof bowl over a pan of simmering water. Stir until smooth, then leave to cool. "
17,8,"Sift the icing sugar into a large bowl, add the butter and vanilla, then beat until smooth and light. Add the cooled chocolate and stir to combine. "
17,9,Fill a large piping bag with frosting and pipe onto the flat side of 12 of the whoopies. Sandwich with the remaining cakes. 
17,10,"Melt all the glaze ingredients in a heatproof bowl over a pan of simmering water, stirring until smooth. Leave to cool slightly. Spoon over the pies, decorate with sprinkles, if you like, and leave to set before serving."
18,0,"This is a superb moist cake, a bit like a clafoutis in France, but by adding breadcrumbs and using polenta it becomes very much like an Italian bread and butter pudding. It’s something that Italians would cook in the embers of the fire after dinner."
18,1,"Preheat the oven to 180ºC/350ºF/gas 4 and butter a shallow 28cm loose-bottomed cake tin. Mix the polenta, flour, breadcrumbs and sugar in a large bowl. In a separate bowl, mix together the milk, eggs, honey and olive oil. Add the wet mixture to the dry mixture, making sure you stir it all together well. Add the figs, raisins, apples, cinnamon, orange and lemon zest and salt, and stir again."
18,2,"Pour the mixture into your cake tin and bake for about 50 minutes. Keep an eye on it – you may need to cover it with some foil if you find that it starts to brown too much at the edges. Before serving, sprinkle over some caster sugar. Then make sure you eat it warm – lovely with a dollop of crème fraîche and a glass of vin santo!"
19,0,"Halve the apricots, then place in a saucepan with the honey and 2 tablespoons of water. "
19,1,Cover and cook until soft but still holding their shape. 
19,2,Preheat the grill to high. Separate the egg yolk from the white. 
19,3,"Add the vanilla sugar and 2 tablespoons of water to the yolks, then whisk until thick and creamy. "
19,4,"Using a clean whisk, beat the egg whites until stiff, then fold into the yolk mixture with a metal spoon."
19,5,"Melt the butter in a 20cm omelette pan, tipping it around the pan to cover the surface. Pour in the egg mixture and cook over a medium heat until the omelette is golden brown and set on the underside. "
19,6,Place under the grill to cook until the top is set.
19,7,"Run a spatula under the omelette to loosen it, then make an indentation across the middle. Spoon over the apricots, then gently fold over one half of the omelette. "
19,8,"Tip onto a plate, dust with icing sugar, chop and scatter over the hazelnuts and serve immediately."
20,0,"Preheat the oven to 190ºC/375ºF/gas 5. Grease two springform cake tins (roughly 20cm) with margarine, then line the bottom with greaseproof paper and dust the sides with gluten-free flour."
20,1,"In a bowl, beat the margarine and sugar for around 5 minutes, or until light and fluffy. Add the vanilla extract and yoghurt, then mix until combined. Sieve the flour, baking powder, xanthan gum and cocoa powder into the bowl, then fold through. Add the milk and stir briefly until you have a nice, smooth batter."
20,2,"Carefully divide the mixture between the cake tins, then place on the middle shelf of the hot oven for 15 to 20 minutes, or until an inserted skewer comes out clean. Leave to cool for 5 minutes, before turning the cakes out onto a wire cooling rack, then leave to cool completely while you make the icing. Sieve the icing sugar and cocoa powder into a large bowl, then add the margarine and beat until smooth. Stir in the soya yoghurt to combine."
20,3,"Once cooled, place one of the sponges on a plate or cake stand. Carefully spread half the butter icing on top, then scatter over most of the raspberries. Sandwich the second sponge on top and press down lightly, then carefully spread the remaining icing over the top and finish with a scattering of berries and a few shavings of chocolate."
21,0,"Place a heatproof bowl over a pan of simmering water, making sure the base doesn’t touch the water. "
21,1,"Break the chocolate into the bowl and allow it to melt, then set aside to cool slightly."
21,2,"Halve and destone the avocados, then scoop the flesh into a food processor, discarding the skins. "
21,3,"Add the remaining ingredients and pulse for a few seconds. Scrape down the sides with a spatula, then pulse again to combine."
21,4,"Pour in the cooled chocolate, then pulse a final time until creamy and smooth. "
21,5,"Divide the mixture between six small bowls, then pop in the fridge to chill for at least 30 minutes. "
21,6,Serve with an extra grating of chocolate and a fresh fruit salad.
22,0,"When you halve the peaches, leave the stones in – they will come away a lot more easily after they have been cooked. Put them into a small pan with 4 tablespoons of the sugar, the cinnamon stick and the zest and juice of the orange. Put a lid on top and slowly simmer for about 10 to 15 minutes, until the peach skin and stones can be easily removed. You don't want to cook them to pulp – they should be soft but should still hold their shape. Remove from the heat and put to one side."
22,1,"In an appropriately sized high-sided, thick-bottomed pan with a lid, slowly melt two-thirds of the butter. Score down the length of the vanilla pods and remove the seeds by scraping a knife down the inside of each half. Add the seeds to the butter and stir. Continue to cook for 1 minute before adding your rice with the remaining sugar. Turn the heat up to medium, stir the rice, and add the wine, continuing to stir until it has almost cooked away. Now add the milk little by little. Keep the rice on a slow but constant simmer for about 16 or 17 minutes and stir it as often as you can. In this way you can massage the starch out of the rice and this will give you a silky, oozy end product, much like the classic Italian risotto. When the rice has cooked through it should be soft yet still holding its shape. You may need to add a little more milk or water just to adjust the consistency. Remove from the heat, add the grated white chocolate and the rest of the butter, then stir, place a lid on top and leave for a few minutes."
22,2,"Remove the skin and stones from the peaches, discard them along with the cinnamon stick, and take the peaches to the table with your block of dark chocolate, snapped into small pieces. Spoon the risotto on to plates, then push a couple of pieces of dark chocolate into the middle of each one. Just so you know, a perfect risotto should slowly creep and ooze to the side of your plate, so don't worry if it starts to spread out! Gently tear the peaches and place some on each plate, then drizzle over some of the lovely juice and sprinkle over a few mint leaves. By the time you go to eat it, the dark chocolate will have melted. Joy joy joy!"
23,0,"Add the yoghurt and frozen fruit to a food processor and blitz until smooth, then finely chop and fold through most of the dried fruit, saving some to serve."
23,1,"Spoon the mixture into a piping bag with a large star-shaped nozzle, then freeze for about 30 minutes, or until frozen but still soft."
23,2,Pipe the fruity fro-yo into your ice cream cones and scatter over the reserved dried fruit.
24,0,Preheat the grill to high. 
24,1,"Toast the almonds on a tray as it heats up, keeping a close eye on them and removing as soon as lightly golden. "
24,2,"Slice up the peaches and divide between four ovenproof bowls, along with their juice. Sit a nice round scoop of ice cream on top of each, and place in the freezer."
24,3,"Separate the eggs. Put the whites into the bowl of a free-standing mixer (save the yolks for another recipe), add a pinch of sea salt and whisk until the mixture forms stiff peaks (you could use an electric hand whisk). "
24,4,"With the mixer still running, gradually add the sugar until combined. Spoon into a piping bag (I like a star-shaped nozzle) or a large sandwich bag that you can snip the corner off."
24,5,Remove the bowls from the freezer and scatter over the toasted almonds. 
24,6,Pipe the meringue over the ice cream as delicately or roughly as you like. 
24,7,"Now – I work two at a time to retain maximum control – pop the bowls under the grill for just 2 minutes, or until golden. Remove carefully and serve right away."
25,0,Preheat the oven to 200ºC/400ºF/gas 6. 
25,1,"To make the dough, sieve the flour and 1 big pinch of fine sea salt onto a clean work surface, then make a well in the middle. "
25,2,"Combine the yeast, sugar and 650ml of tepid water in a jug, leave for a few minutes until it starts to froth, then pour into the well. "
25,3,"Using a fork, gradually bring the flour in from the sides and swirl it into the liquid. Keep mixing and incorporating the flour until it comes together into a rough dough. With clean, flour-dusted hands, work the rest of the flour into the dough, then knead until it forms a smooth, springy and slightly wet dough."
25,4,"Place into a large flour-dusted bowl, dust with a little more flour, then cover the bowl with a damp cloth. Leave in a warm place for about 1 hour, or until doubled in size. "
25,5,"To make the filling, spread the hazelnuts out on a baking tray, then place in the oven for 10 minutes, or until golden. Leave to cool completely."
25,6,"Reserving a small handful of the toasted nuts, place the rest into a food processor with the sugar, then blitz to a fairly smooth paste."
25,7,"Snap the chocolate into a medium heatproof bowl, and rest over a pan of simmering water on a medium heat. Stir until melted."
25,8,"Add the cream and 100g of butter, then stir until smooth and combined. Fold in 1 big pinch of sea salt and the hazelnut paste."
25,9,"Knock back the risen dough, then divide into 14 portions. On a flour-dusted surface, roll each portion out into rough 16cm rounds."
25,10,"Spoon 1 heaped tablespoon of the chocolate mixture onto one side of each pastry round, then fold the pastry over the filling into a half-moon shape, crimping the edges to seal – they should look like Cornish pasties."
25,11,"Melt a small knob of the remaining butter in a large frying pan on a medium-low heat, then add as many calzones as will fit, being careful not to break or pierce them. Cook for 8 to 10 minutes, or until golden and crisp, turning halfway. "
25,12,Roughly chop or bash the reserved toasted nuts. 
25,13,"Slice the calzones into wedges or halves, if you like, then serve straightaway with a few toasted hazelnuts scattered on top. If you have any leftover chocolate, melt it and drizzle on top. Repeat with the remaining calzones, serving as you go."
26,0,"Put the milk, orange and lemon zest and cinnamon in a saucepan. Split the vanilla pod lengthways and add this too, then gently bring to the boil."
26,1,Remove from the heat and allow to infuse for 15 minutes.
26,2,"Meanwhile, whisk the egg yolks with the sugar and cornflour until pale and creamy. "
26,3,"Pass the milk through a sieve and discard everything else, then return the milk to the pan and place over a medium heat. "
26,4,"Just before it reaches boiling point, slowly add the egg mixture, whisking continuously for about 7 minutes, or until it begins to thicken and coats the back of a wooden spoon."
26,5,Remove it from the heat and pour into individual dishes or ramekins. 
26,6,"Cover each serving with a disc of greaseproof paper to prevent a skin from forming, and let it cool before placing in the fridge."
26,7,"To serve, remove the greaseproof paper, sprinkle 1 tablespoon of sugar on top of each crema and caramelise using a blowtorch. Alternatively, place the sugared cremas on a tray under a preheated gas grill for a few minutes, until the sugar turns dark brown. Allow the sugar to harden, then serve immediately."
27,0,Preheat your oven to 180°C/350°F/gas 4. Grease the base of a 16cm panettone tin. Set aside.
27,1,"Cream the butter and sugar in a bowl until pale, then beat in the egg and ground almonds until combined."
27,2,"In another bowl, mix together the flour, cocoa, baking powder and a pinch of sea salt, then fold this through the creamed mixture."
27,3,"Chop the chocolate, pop in a bowl and melt it in the microwave for a few seconds. Stir it into the cake batter along with the milk, until smooth."
27,4,"Spoon the batter into the tin and bake in the oven for 25 to 30 minutes, or until firm to the touch and a skewer inserted comes out clean."
27,5,"Remove the cake from the oven, leave to cool in the tin for 5 minutes, then transfer it to a wire rack to cool completely. Take your ice cream out of the freezer to soften a little."
27,6,"Line the panettone tin with two long pieces of clingfilm, laying them perpendicular to each other (to help you take out the cake). "
27,7,"Halve the sponge horizontally and place one of the thin pieces back into the tin, pressing it down flat."
27,8,"Spoon in one flavour of ice cream to give you a layer at least 5cm-thick. Repeat with a second flavour, then top with a third. Keep layering until you’ve used up all of your ice cream."
27,9,"Press the remaining sponge on top, then fold over the overhanging clingfilm to cover. Pop the cake in the freezer for at least 2 hours to firm up."
27,10,"To serve, turn out the cake onto a board or cake stand and peel off the clingfilm. Leave it to soften for 5 minutes, then cut it into slices with a large, warm knife."
28,0,"Whisk the lemon zest, juice and eggs in a saucepan. Add the butter and sugar and stir well over a gentle heat until the butter is melted."
28,1,"Turn up the heat moderately and cook the mixture for 20 to 25 minutes, or until well thickened, stirring regularly. "
28,2,"Pass the curd through a sieve, cover, and cool at room temperature, then chill. You’ll have about 700g. Store in the fridge."
28,3,Make your shortcakes. Grind the almonds in a food processor. Toast the breadcrumbs in a dry frying pan.
28,4,"Beat the butter and sugar together until pale, then add the orange zest and mix well. Add the flour, ground almonds and breadcrumbs. Mix very well into a dough. "
28,5,"Knead lightly then shape into a log of 7 to 8cm diameter. Wrap in clingfilm and refrigerate for at least 1 hour, but preferably overnight."
28,6,"To cook, preheat the oven to 170ºC/gas 3. Line a baking sheet with greaseproof paper. "
28,7,"Cut the shortcake into 12 slices the thickness of a pound coin (freeze the rest for later), and bake for 12 to 15 minutes, till the palest golden colour. "
28,8,Remove from the oven and let cool.
